accession_number	gene	uniq_peptides	ANK2.MUT_1	IgG.MUT_1	ANK2.MUT_2	IgG.MUT_2	ANK2.MUT_3	IgG.MUT_3	ANK2.MUT_1_imp	IgG.MUT_1_imp	ANK2.MUT_2_imp	IgG.MUT_2_imp	ANK2.MUT_3_imp	IgG.MUT_3_imp	rep1	rep2	rep3	logFC	pvalue	FDR
P60660	MYL6	5	0.179024912026929	-8.54817971167945	0.36218236235983	-7.82869237419073	0.639328203837705	-7.25738784269265	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	8.72720462370637	8.19087473655056	7.89671604653036	8.2715984689291	1.46308413142895e-05	0.000683217752933294
Q9P0K7	RAI14	38	0.786707489248168	-6.6737105937633	0.62283972510292	-6.24372987346957	0.827163403137784	-8.25738784269265	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7.46041808301147	6.86656959857249	9.08455124583044	7.80384630913813	0.000195153665713442	0.00109176400515729
Q9UQ03	CORO2B	14	0.931581118635113	-8.54817971167945	0.874310518999817	-5.92180177858221	1.13456489156986	-4.66825791505103	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	9.47976083031456	6.79611229758203	5.80282280662089	7.35956531150583	0.00143693901903948	0.00385173360051727
Q13813-2	SPTAN1	76	0.789878945880108	-5.96321721095829	0.907704462357446	-6.36926075555343	0.969282777550334	-6.84235034341381	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	6.7530961568384	7.27696521791088	7.81163312096414	7.28056483190447	4.94605926487937e-05	0.000683217752933294
Q01082	SPTBN1	73	0.824930961727685	-6.325787290343	0.953914913237435	-6.65876737274842	0.905813792024399	-5.84235034341381	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7.15071825207068	7.61268228598585	6.74816413543821	7.17052155783158	3.25455304055357e-05	0.000683217752933294
P52907	CAPZA1	8	0.430563679022893	-6.81121411751324	0.363538916329915	-6.65876737274842	0.37434124139947	-6.84235034341381	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7.24177779653613	7.02230628907833	7.21669158481328	7.16025855680925	9.36633433529997e-06	0.000683217752933294
O75781-2	PALM	1	1.38850442883258	-5.31996541635744	1.26862048970656	-5.56659889406809	1.09731784830109	-5.54229617082688	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	6.70846984519002	6.83521938377465	6.63961401912797	6.72776774936421	1.22188108262812e-05	0.000683217752933294
Q01484	ANK2	157	0.39101273727241	-6.04567937115026	0.420044216629737	-6.50676427930337	0.467954292170962	-6.25738784269265	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	6.43669210842267	6.9268084959331	6.72534213486361	6.69628091307313	1.87672975404104e-05	0.000683217752933294
Q9Y2D5-7	AKAP2	9	1.38011176385599	-5.44209557976916	1.66443331134508	-4.93626893442644	1.09064384237779	-5.52774326201981	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	6.82220734362515	6.60070224577152	6.6183871043976	6.68043223126476	1.23988384344571e-05	0.000683217752933294
O14950	MYL12B	2	0.424046694295103	-5.13780941114036	0.114806102814687	-5.00186049325701	0.290628631880569	-8.84235034341381	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	5.56185610543546	5.1166665960717	9.13297897529438	6.60383389226718	0.00185581787515943	0.00460005920119306
Q12860	CNTN1	4	0.856128890205648	-5.79935341207525	1.11440328414925	-5.81980383459868	1.22266375762479	-4.51521824308616	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	6.65548230228089	6.93420711874793	5.73788200071096	6.44252380724659	6.90718528327537e-05	0.000778614815982251
P80723	BASP1	10	1.49882270980264	-6.85004165597189	0.978470117567289	-3.87413093216626	1.47821775761194	-4.55223554949252	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	8.34886436577452	4.85260104973355	6.03045330710446	6.41063957420418	0.0024509718095025	0.0055987885452361
P35222	CTNNB1	2	0.330447327242811	-5.74714551253298	0.725054008434785	-5.25764716587243	0.983282605055066	-6.10086934896755	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	6.07759283977579	5.98270117430722	7.08415195402262	6.38148198936854	4.69388258967696e-05	0.000683217752933294
Q07157-2	TJP1	2	1.27810896715472	-5.6330606057476	1.05014475356398	-5.60188500114726	1.5735200478169	-3.9804321425402	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	6.91116957290232	6.65202975471123	5.55395219035709	6.37238383932355	8.93363872725638e-05	0.000784550459803559
Q96SB3	PPP1R9B	18	1.05955080363605	-5.27516121727303	0.836222121962679	-5.02133745213312	1.1118928800709	-5.38291872477651	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	6.33471202090908	5.8575595740958	6.49481160484741	6.2290277332841	2.89386361003566e-05	0.000683217752933294
Q9ULV4	CORO1C	11	1.0157970829541	-7.325787290343	0.565054866908115	-4.26674730940681	0.860500587011896	-4.5687819079452	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	8.3415843732971	4.83180217631493	5.4292824949571	6.20088968152304	0.00176861314867027	0.00443104154451798
Q8N556	AFAP1	2	0.838471714243632	-6.38832083790034	1.39969186715233	-4.0460236183293	0.586544576810053	-5.22366916472759	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	7.22679255214397	5.44571548548163	5.81021374153764	6.16090725972108	0.000217951183604314	0.00112850279510678
P09471	GNAO1	2	0.847022852983717	-6.14669216425266	0.941251677971684	-4.98882656925661	0.846835613788007	-4.69299401317978	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	6.99371501723638	5.93007824722829	5.53982962696778	6.15454096381082	0.000143646284469275	0.00107966400907552
P35221	CTNNA1	1	0.838471714243632	-4.84881110893535	0.64977530407397	-5.98456543693367	1.19389110799615	-4.92682339103742	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	5.68728282317898	6.63434074100764	6.12071449903357	6.1474460210734	7.23380373759787e-05	0.000778614815982251
