accession_number	gene	uniq_peptides	ANK2.WT_1	IgG.WT_1	ANK2.WT_2	IgG.WT_2	ANK2.WT_3	IgG.WT_3	ANK2.WT_1_imp	IgG.WT_1_imp	ANK2.WT_2_imp	IgG.WT_2_imp	ANK2.WT_3_imp	IgG.WT_3_imp	rep1	rep2	rep3	logFC	pvalue	FDR
Q9BQI7	PSD2	1	1.65287623050932	-6.2571852898448	2.12148911465496	-4.84595217145764	2.01825612490959	-3.40559600920718	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	7.91006152035412	6.96744128611261	5.42385213411677	6.76711831352783	0.00122313514950608	0.00759065476104072
P52907	CAPZA1	8	1.28244961793077	-6.20945336562895	0.861671843452027	-6.82564027508535	1.25219614577344	-3.65377165863981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7.49190298355972	7.68731211853738	4.90596780441325	6.69506096883678	0.000855665861727347	0.00652076398074979
Q9P0K7	RAI14	38	0.668529494820803	-6.49895998282393	0.787989597190673	-6.63299519714296	0.558943850693994	-4.89843974494084	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	7.16748947764474	7.42098479433363	5.45738359563483	6.68195262253774	0.000412766317574347	0.00516198010814122
Q9ULV4	CORO1C	11	0.417709447541239	-6.86153006220864	0.545968369105293	-3.41051858667469	0.796818182629387	-7.51175265376738	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	7.27923950974988	3.95648695577998	8.30857083639677	6.51476576730888	0.00556968872889755	0.0200303681866459
P28289	TMOD1	2	1.45045523007804	-4.89689642476179	1.50927356912461	-5.35004418523617	1.52641794717255	-3.93965909687417	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	6.34735165483983	6.85931775436078	5.46607704404672	6.22424881774911	0.000391148639644657	0.00516198010814122
Q01484	ANK2	157	1.08874723320533	-4.58142214301591	1.16656243069668	-5.54553235589262	0.951823764235961	-4.98819069771037	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5.67016937622124	6.7120947865893	5.94001446194633	6.10742620825229	0.000228112663658529	0.00516198010814122
Q16643	DBN1	23	0.625432180080802	-5.27656756148749	0.656441889141095	-5.2406777743642	0.690587856504465	-5.51175265376738	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5.90199974156829	5.89711966350529	6.20234051027184	6.00048663844848	0.000115717620777355	0.00516198010814122
P04406	GAPDH	1	1.76523172384544	-5.03791087275515	0.508790820235753	-4.60489781164677	1.47377646743132	-4.58862895630432	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	6.80314259660059	5.11368863188252	6.06240542373564	5.99307888407292	0.000769101816747535	0.00642599250113835
Q9UQ03	CORO2B	14	0.645704575107063	-6.86153006220864	-0.176638826170832	-5.93255547900187	-0.271568792350863	-4.51175265376738	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7.50723463731571	5.75591665283103	4.24018386141652	5.83444505052109	0.00568310343196366	0.0200303681866459
P60660	MYL6	5	1.08663029219323	-6.66888498426625	1.04530982554019	-3.32921444896586	1.15914086511031	-4.18982455888002	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7.75551527645947	4.37452427450604	5.34896542399033	5.82633499165195	0.00429349196858424	0.0169439593760199
