accession_number	gene	uniq_peptides	ANK2.WT_1	ANK2.MUT_1	ANK2.WT_2	ANK2.MUT_2	ANK2.WT_3	ANK2.MUT_3	ANK2.WT_1_imp	ANK2.MUT_1_imp	ANK2.WT_2_imp	ANK2.MUT_2_imp	ANK2.WT_3_imp	ANK2.MUT_3_imp	rep1	rep2	rep3	logFC	pvalue	FDR
P01033	TIMP1	1	-1.95518492967805	-2.37049087530351	2.32577016118176	-2.14648260023662	3.17464460281116	-2.4136118173172	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	0.415305945625464	4.47225276141838	5.58825642012836	3.49193837572407	0.0641545030389203	0.191836295869555
Q9BQI7	PSD2	1	1.65287623050932	-2.46975860835709	2.12148911465496	-2.0077188970156	2.01825612490959	-0.13427792686536	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	4.1226348388664	4.12920801167056	2.15253405177495	3.46812563410397	0.00252966200568949	0.0461309383447959
Q9BPX5	ARPC5L	2	2.84483556728253	-2.27745437629837	-2.80232002041901	-1.82286387643979	2.77013465572196	-1.73558689261575	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	5.1222899435809	-0.979456143979216	4.50572154833771	2.88285178264646	0.11892660033715	0.269566960764207
P02533	KRT14	2	1.08167864953569	-1.71198793907759	1.6287180567326	-2.07335801691267	0.48072253304418	-1.57738430842639	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2.79366658861328	3.70207607364527	2.05810684147057	2.85128316790971	0.00811231953627533	0.0804471687347304
P05387	RPLP2	1	2.54548402376456	-1.71140551177914	2.60407132366886	-1.36103027228401	-3.25061101286066	-2.66257827142151	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	4.2568895355437	3.96510159595287	-0.58803274143915	2.54465279668581	0.0871494907477646	0.227929437340308
P11047	LAMC1	8	1.29228062729046	-0.685319988615505	1.26246179418076	-1.57280244644777	1.2953842555421	-1.36678233067162	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.97760061590596	2.83526424062852	2.66216658621372	2.49167714758274	0.00195788089272168	0.0423614229516145
P02452	COL1A1	5	-0.0722152633685962	0.302296286928662	-0.520473774269442	-2.49207117433491	3.44565286651693	-2.3068113091319	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-0.374511550297258	1.97159740006547	5.75246417564883	2.44985000847235	0.24823441520827	0.431239349047943
Q5VTE0	EEF1A1P5	5	1.40417350736136	-0.584962500721156	1.09182070842291	-1.56762220734209	1.51360589485796	-0.939549534422474	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.98913600808251	2.659442915765	2.45315542928044	2.36724478437598	0.00184536401825613	0.0423614229516145
Q9Y4I1-2	MYO5A	39	1.42889318603392	-0.667811338760763	1.72952687509762	-0.592395708768081	1.77041812070782	-0.666531040016058	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2.09670452479468	2.3219225838657	2.43694916072388	2.28519208979475	0.00117233770033251	0.0398594818113054
P07942	LAMB1	7	0.497424567704731	-1.95364869411881	0.399496648383066	-1.77885418294131	0.49999546333931	-1.50012787651667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2.45107326182354	2.17835083132438	2.00012333985598	2.20984914433463	0.00164074118079086	0.0423614229516145
P55209	NAP1L1	1	1.90193285878666	0.0674129214090176	1.02046410255972	-0.895703910341505	1.6983555437437	-0.251493540737215	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.83451993737764	1.91616801290122	1.94984908448091	1.90017901158659	0.00177594540863006	0.0423614229516145
Q96FJ2	DYNLL2	1	-0.188744007832816	-1.50505863512894	1.06711419585854	1.41971822068645	2.4467174552069	-2.24424488375465	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1.31631462729613	-0.352604024827911	4.69096233896155	1.88489098047659	0.261743142436449	0.437510654618301
P35580-5	MYH10	1	1.60437771281813	-0.0927443037844737	1.10657166419804	-0.530611636186968	1.96822667524703	-0.00475666451635259	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.6971220166026	1.63718330038501	1.97298333976338	1.769096218917	0.00272601460863649	0.0461309383447959
O43602	DCX	8	-1.55229119192192	-2.40303769818843	0.44965569614842	-0.48717237492207	-0.246115613375949	-3.30211961380718	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.850746506266515	0.93682807107049	3.05600400043123	1.61452619258941	0.043065929109442	0.173723578441478
P28289	TMOD1	2	1.45045523007804	-0.169514269755298	1.50927356912461	-0.223119476253256	1.52641794717255	0.115842465919542	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.61996949983334	1.73239304537787	1.410575481253	1.5876460088214	0.0041284937870081	0.0567712705632194
Q96GY0	ZC2HC1A	5	1.35401282305608	-0.388625040450987	0.953220887291248	-0.294068886223006	0.807907361291193	-0.937729098798106	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.74263786350707	1.24728977351425	1.7456364600893	1.57852136570354	0.00453216025504693	0.0567712705632194
P22061	PCMT1	1	-0.158299137450904	-1.36586014931889	-0.363748270581989	-1.42730091894467	0.387705517307649	-1.44996508177858	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.20756101186799	1.06355264836268	1.83767059908623	1.36959475310563	0.0126894558938845	0.0888261912571917
Q9Y608	LRRFIP2	8	1.26757634144924	0.077829537354356	1.55441343736155	-0.234362640098739	1.27953901069493	0.236837717649535	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.18974680409488	1.78877607746029	1.0427012930454	1.34040805820019	0.0131319545458487	0.0892972909117713
P62829	RPL23	4	-0.240958212273754	-1.38862504045099	-0.721024050297184	-2.1998904228416	-0.283288556564457	-1.66803934652134	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.14766682817723	1.47886637254442	1.38475078995688	1.33709466355951	0.00734052187368243	0.075958443736366
Q13045-2	FLII	1	0.631253418809522	-0.680045046574831	-0.193823269139677	-2.08071872186392	0.0211176697304936	-0.657514166658625	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.31129846538435	1.88689545272425	0.678631836389118	1.29227525149924	0.046985710126899	0.180117232154032
