TRAIT	NTOTAL	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P
ASD	18290	IGF2BP1	SET	3501	0.038647	0.015205	0.016654	0.010163
ASD	18290	IGF2BP2	SET	3005	0.046014	0.017051	0.017675	0.0046222
ASD	18290	IGF2BP3	SET	3674	0.049508	0.019836	0.016171	0.0011031
ASD	18288	COMBINED	SET	4885	0.044399	0.019645	0.014824	0.0013747
ADHD	18223	IGF2BP1	SET	3497	0.028166	0.011092	0.017148	0.050259
ADHD	18223	IGF2BP2	SET	3002	0.052594	0.01951	0.018428	0.0021621
ADHD	18223	IGF2BP3	SET	3669	0.038114	0.015284	0.016904	0.012084
ADHD	18221	COMBINED	SET	4880	0.027238	0.012062	0.015384	0.038335
BIP	18400	IGF2BP1	SET	3501	0.042617	0.016728	0.017539	0.0075607
BIP	18400	IGF2BP2	SET	3005	0.038332	0.01417	0.018405	0.018651
BIP	18400	IGF2BP3	SET	3673	0.029242	0.011689	0.017199	0.044558
BIP	18398	COMBINED	SET	4884	0.034715	0.01533	0.015627	0.013168
MDD	18234	IGF2BP1	SET	3492	0.024709	0.0097229	0.018396	0.089622
MDD	18234	IGF2BP2	SET	2999	0.037876	0.014041	0.019392	0.025408
MDD	18234	IGF2BP3	SET	3663	0.022454	0.0089966	0.018046	0.10672
MDD	18232	COMBINED	SET	4873	0.01584	0.00701	0.016409	0.1672
SCZ	19186	IGF2BP1	SET	3626	0.059562	0.023319	0.01894	0.0008332
SCZ	19186	IGF2BP2	SET	3116	0.069335	0.025573	0.020151	0.00029085
SCZ	19186	IGF2BP3	SET	3794	0.062581	0.024927	0.018585	0.00038067
SCZ	19184	COMBINED	SET	5055	0.073237	0.032264	0.017054	8.8194e-06
height	18079	IGF2BP1	SET	3491	0.16829	0.066432	0.036926	2.6152e-06
height	18079	IGF2BP2	SET	2996	0.19193	0.071368	0.039428	5.7115e-07
height	18079	IGF2BP3	SET	3661	0.19133	0.076889	0.035817	4.6913e-08
height	18077	COMBINED	SET	4869	0.18716	0.083033	0.032609	4.8617e-09
