Bait	Interactor	IP	Site	Labeling	Bait_logFC	Bait_FDR	Int_logFC	Int_FDR
ADNP	TRA2A	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	7.06160943353976	0.093183380603427
ADNP	PLCB1	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	6.55627520829601	0.0383678434301424
ADNP	RRBP1	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	5.9743083486798	0.0377619749802797
ADNP	SOAT1	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	5.05515428378112	0.0414870079782252
ADNP	RAB3GAP1	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	4.77538040560039	0.0383678434301424
ADNP	CBX3	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	4.39171234024665	0.0377619749802797
ADNP	IGHG1	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	4.3731727118387	0.0377619749802797
ADNP	PML	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	3.73902774732113	0.093183380603427
ADNP	DLST	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	3.71254166550914	0.0383678434301424
ADNP	SEC24C	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	3.52652287620177	0.0383678434301424
ADNP	MAPRE2	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	2.10738420772908	0.0818238242634775
ADNP	OGDH	ADNP_CNCR1	CNCR	label-free	4.8337510133287	0.0383678434301424	1.98038583501835	0.0841372472335628
ANK2	SNX9	ANK2_CNCR1	CNCR	label-free	12.8007842829362	0.00894010598506901	9.42578611484992	0.00894010598506901
ANK2	RFC1	ANK2_CNCR1	CNCR	label-free	12.8007842829362	0.00894010598506901	7.68544505516139	0.0550915783716734
ANK2	MOCS2	ANK2_CNCR1	CNCR	label-free	12.8007842829362	0.00894010598506901	7.4104437479577	0.0134549703675362
ANK2	PSD2	ANK2_CNCR1	CNCR	label-free	12.8007842829362	0.00894010598506901	6.99159180282702	0.0450407203434126
ANK2	RRBP1	ANK2_CNCR1	CNCR	label-free	12.8007842829362	0.00894010598506901	5.98870663212207	0.0134549703675362
ANK2	IGHG2	ANK2_CNCR1	CNCR	label-free	12.8007842829362	0.00894010598506901	3.09250403338103	0.0450407203434126
ANK2	HP1BP3	ANK2_CNCR1	CNCR	label-free	12.8007842829362	0.00894010598506901	3.03835685392899	0.0484141885789169
