IP	Site	Labeling	RepCorr	NumProteins	SigProteins	NumInts	NumNonInts	NumInWeb	InWebP	Bait_logFC	Bait_FDR	Med_logFC	Med_FDR	Max_logFC	Max_FDR
ADNP_CNCR1	CNCR	label-free	0.736	211	13	12	1293	1	7.33E-02	4.83375101	0.03836784	4.38244253	0.03836784	7.06160943	0.09318338
ANK2_CNCR1	CNCR	label-free	0.802	197	10	8	1297	0	1.00E+00	12.8007843	0.00894011	6.49014922	0.04504072	9.42578611	0.05509158
ANK2_CNCR2	CNCR	label-free	0.814	155	10	7	1019	2	1.60E-02	13.0409054	0.02015527	4.41867482	0.05094769	8.34941705	0.08795319
ANK2_WH	WH	iTRAQ	0.889	366	102	100	260	8	1.75E-04	2.07473499	7.24E-07	0.80483384	0.00052497	2.72628072	0.09368568
ARID1B_CNCR1	CNCR	label-free	0.804	386	39	37	1268	11	2.74E-12	8.45878253	0.01146074	4.93663903	0.02092305	13.1455003	0.08588997
ARID1B_CNCR2	CNCR	label-free	0.751	225	33	31	995	10	3.77E-11	9.7020275	0.00491655	4.25764149	0.01692614	13.1860549	0.09795709
CHD8_CNCR1	CNCR	label-free	0.824	330	65	61	1244	1	6.34E-01	3.35860946	0.00846675	2.91358719	0.01402963	12.443125	0.09270687
CHD8_CNCR2	CNCR	label-free	0.721	260	59	54	972	1	5.66E-01	9.76049501	0.00032781	2.99241533	0.02260509	10.9810888	0.09154517
CTNNB1_CNCR1	CNCR	label-free	0.789	298	14	12	1293	8	1.47E-05	7.16870806	0.02858154	9.12264622	0.04447037	10.8644996	0.08566925
CTNNB1_CNCR2	CNCR	label-free	0.869	149	24	23	1003	12	1.56E-05	8.97706589	2.14E-05	3.89055502	0.0001294	18.0973125	0.08130252
DYRK1A_Broad	Broad	iTRAQ	0.891	1798	614	604	1178	39	7.52E-04	0.84275	0.00717518	0.482	0.0132956	2.96275	0.09862263
GIGYF1_CNCR2	CNCR	label-free	0.845	219	37	36	990	0	1.00E+00	4.73581879	0.05467396	6.16939127	0.00476971	14.7993095	0.09399529
MED13L_CNCR1	CNCR	label-free	0.791	401	48	45	1260	11	4.08E-07	3.15994619	0.0266268	4.75585092	0.02142625	12.6943811	0.08968249
PTEN_WH1	WH	iTRAQ	0.653	209	4	3	201	1	4.03E-01	2.60757716	0.0177961	0.97684573	0.06515783	1.88241389	0.08135296
PTEN_WH2	WH	iTRAQ	0.729	147	2	1	144	0	1.00E+00	2.89452091	0.07770849	1.76652163	0.07770849	1.76652163	0.07770849
SCN2A_Broad	Broad	iTRAQ	0.838	868	52	50	813	1	1.66E-01	2.051	0.00255719	1.0035	0.01155677	3.4975	0.0822238
SCN2A_WH	WH	iTRAQ	0.757	282	14	13	264	0	1.00E+00	1.9332027	0.06007589	0.70886009	0.06234237	1.70865103	0.08659095
SHANK3_Broad	Broad	iTRAQ	0.785	996	105	103	886	2	1.93E-01	1.16125	0.01217072	0.92175	0.01446947	2.78875	0.09487727
SHANK3_CNCR1	CNCR	label-free	0.851	364	48	47	1258	1	3.84E-01	2.37576241	0.05769487	5.56780349	0.0091597	12.8582068	0.09275727
SHANK3_WH	WH	iTRAQ	0.73	238	31	29	204	0	1.00E+00	0.51476977	0.08549743	0.81222625	0.04316708	2.31185045	0.09606015
SYNGAP1_CNCR2	CNCR	label-free	0.746	262	63	62	964	0	1.00E+00	3.56927373	0.00223873	3.67445748	0.00529972	12.2699586	0.0871138
SYNGAP1_WH1	WH	iTRAQ	0.785	371	74	72	291	1	2.00E-01	1.59090194	0.01555608	0.9425573	0.02681305	2.69332543	0.09266858
SYNGAP1_WH2	WH	iTRAQ	0.806	246	37	36	207	0	1.00E+00	0.33811625	0.09772247	1.12767121	0.00585094	2.94571641	0.09983094
TLK2_CNCR1	CNCR	label-free	0.733	429	46	44	1261	1	1.58E-01	9.17174095	0.00451563	4.80357469	0.01303799	13.6090575	0.09532876
TLK2_CNCR2	CNCR	label-free	0.774	207	21	20	1006	0	1.00E+00	6.44596348	0.09054931	4.6807982	0.05392378	12.6708338	0.09625192
TLK2_WH	WH	iTRAQ	0.761	85	11	10	74	0	1.00E+00	1.7891881	0.00858652	0.77140744	0.03620175	1.26398858	0.07437483
