TEST	TRAIT	NTOTAL	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P
Conditional	ASD	1237	ADNP	SET	12	-0.41697	-0.040886	0.31398	0.90779
Global	ASD	18290	ADNP	SET	12	-0.18135	-0.0046437	0.23871	0.77628
Conditional	ASD	1631	ANK2	SET	103	0.14182	0.034505	0.10486	0.088209
Global	ASD	18290	ANK2	SET	103	-0.031118	-0.0023287	0.087544	0.63887
Conditional	ASD	1493	ARID1B	SET	44	-0.053996	-0.009135	0.14089	0.64921
Global	ASD	18290	ARID1B	SET	44	0.052764	0.0025849	0.11773	0.32702
Conditional	ASD	1493	CHD8	SET	80	-0.20564	-0.046324	0.11504	0.96296
Global	ASD	18290	CHD8	SET	80	-0.040848	-0.0026957	0.099558	0.6592
Conditional	ASD	1493	CTNNB1	SET	23	0.014918	0.0018379	0.21681	0.47258
Global	ASD	18290	CTNNB1	SET	23	0.13102	0.0046432	0.17595	0.22826
Conditional	ASD	1694	DYRK1A	SET	569	0.051	0.024094	0.050768	0.15763
Global	ASD	18290	DYRK1A	SET	569	0.029318	0.0050902	0.037196	0.2153
Conditional	ASD	977	GIGYF1	SET	33	-0.23519	-0.04251	0.17131	0.91494
Global	ASD	18290	GIGYF1	SET	33	-0.15786	-0.0066996	0.14464	0.86245
Conditional	ASD	1237	MED13L	SET	41	-0.23911	-0.042821	0.15554	0.93776
Global	ASD	18290	MED13L	SET	41	-0.22078	-0.010442	0.13422	0.95
Conditional	ASD	232	PTEN	SET	3	0.18131	0.020528	0.58587	0.37862
Global	ASD	18290	PTEN	SET	3	-0.45843	-0.0058709	0.70579	0.742
Conditional	ASD	879	SCN2A	SET	56	-0.14934	-0.036495	0.14216	0.85311
Global	ASD	18290	SCN2A	SET	56	-0.093914	-0.0051887	0.12339	0.7767
Conditional	ASD	1830	SHANK3	SET	124	0.087428	0.02198	0.094565	0.17767
Global	ASD	18290	SHANK3	SET	124	-0.050326	-0.0041298	0.079347	0.73703
Conditional	ASD	1180	SYNGAP1	SET	128	0.25397	0.079014	0.094677	0.0037071
Global	ASD	18290	SYNGAP1	SET	128	0.14672	0.012231	0.0829	0.038393
Conditional	ASD	1516	TLK2	SET	55	0.099362	0.018585	0.14187	0.24191
Global	ASD	18290	TLK2	SET	55	0.080778	0.0044231	0.11804	0.24689
Conditional	ASD	3096	COMBINED	SET	964	0.055876	0.025878	0.036214	0.061481
Global	ASD	18278	COMBINED	SET	964	0.019698	0.0044029	0.029062	0.24896
Conditional	ASD	1236	ADNP_noInWeb	SET	11	-0.4192	-0.039386	0.31714	0.90675
Global	ASD	18290	ADNP_noInWeb	SET	11	-0.16803	-0.0041196	0.24461	0.75393
Conditional	ASD	1624	ANK2_noInWeb	SET	96	0.16147	0.038093	0.11103	0.073029
