GeneID	D0-Rep1	D0-Rep2	HDFN-day21-Rep2	HDFN-day21-Rep3	HDFN-day51-Rep1	HDFN-day51-Rep3
ENSG00000000003	2586	2239	178	150	151	123
ENSG00000000005	48	45	0	1	0	0
ENSG00000000419	365	330	159	162	158	120
ENSG00000000457	194	145	221	189	212	197
ENSG00000000460	868	789	82	75	62	51
ENSG00000000938	3	1	1	0	0	1
ENSG00000000971	0	0	0	0	1	2
ENSG00000001036	543	554	104	131	181	136
ENSG00000001084	962	801	281	275	268	218
ENSG00000001167	2214	2007	890	926	1056	818
ENSG00000001460	161	154	34	16	132	93
ENSG00000001461	264	282	451	401	767	651
ENSG00000001497	1045	1034	326	349	201	187
ENSG00000001561	128	118	514	422	716	603
ENSG00000001617	527	450	87	79	125	105
ENSG00000001626	11	9	0	1	0	0
ENSG00000001629	1537	1485	2067	1969	1874	1405
ENSG00000001630	13	15	21	13	20	15
ENSG00000001631	1470	1252	952	1045	837	702
ENSG00000002016	153	162	136	173	110	119
ENSG00000002079	1	0	2	0	1	0
ENSG00000002330	104	85	146	175	252	176
ENSG00000002549	558	437	100	119	147	98
ENSG00000002586	576	648	18	12	58	39
ENSG00000002587	13	11	75	56	108	97
ENSG00000002726	0	0	0	0	0	0
ENSG00000002745	1	2	0	0	0	0
ENSG00000002746	192	166	3560	3523	2102	1811
ENSG00000002822	548	562	267	349	345	249
ENSG00000002834	3079	2855	838	842	1259	899
ENSG00000002919	88	76	67	78	84	65
ENSG00000002933	0	0	1	0	10	8
ENSG00000003056	1184	1117	429	463	603	437
ENSG00000003096	142	101	523	448	219	205
ENSG00000003137	5	1	29	17	4	4
ENSG00000003147	494	496	172	217	503	400
ENSG00000003249	982	864	511	517	671	554
ENSG00000003393	1476	1306	1101	1076	943	812
ENSG00000003400	56	61	1	1	12	1
ENSG00000003402	540	547	1523	1608	1348	1193
ENSG00000003436	246	232	1	1	2	0
ENSG00000003509	838	736	472	505	376	333
ENSG00000003756	1910	1855	2955	2918	2270	2131
ENSG00000003987	257	223	1548	1484	1594	1291
ENSG00000003989	1126	1041	9	13	19	20
