"Bait"	"Interactor"	"Forward.IP.WB"	"Reverse.IP.WB"	"X"	"Validated"	"InWeb"	"BioPlex"	"IPs"	"Bait_logFCs"	"Bait_FDRs"	"Interactor_logFCs"	"Interactor_FDRs"	"Number_IPs"
"1"	"ADNP"	"CBX3"	TRUE	NA	NA	TRUE	TRUE	TRUE	"ADNP_CNCR1"	"4.8"	"3.8e-02"	"4.4"	"3.8e-02"	1
"2"	"ADNP"	"DLST"	FALSE	NA	NA	FALSE	FALSE	FALSE	"ADNP_CNCR1"	"4.8"	"3.8e-02"	"3.7"	"3.8e-02"	1
"3"	"ANK2"	"ACTB"	TRUE	NA	NA	TRUE	FALSE	FALSE	"ANK2_WH"	"2.1"	"7.2e-07"	"1.58"	"6.1e-06"	1
"4"	"ANK2"	"C3"	TRUE	NA	NA	TRUE	FALSE	FALSE	"ANK2_WH"	"2.1"	"7.2e-07"	"1.16"	"2.1e-05"	1
"5"	"ANK2"	"CACNA2D1"	TRUE	NA	NA	TRUE	FALSE	FALSE	"ANK2_WH"	"2.1"	"7.2e-07"	"1.02"	"1.0e-04"	1
"6"	"ANK2"	"DYNC1H1"	TRUE	TRUE	NA	TRUE	TRUE	FALSE	"ANK2_WH"	"2.1"	"7.2e-07"	"0.91"	"1.6e-04"	1
"7"	"ANK2"	"GAP43"	TRUE	NA	NA	TRUE	FALSE	FALSE	"ANK2_WH"	"2.1"	"7.2e-07"	"1.64"	"3.9e-06"	1
"8"	"ANK2"	"IGF2BP1"	TRUE	NA	NA	TRUE	FALSE	FALSE	"ANK2_WH"	"2.1"	"7.2e-07"	"0.97"	"4.1e-04"	1
"9"	"ANK2"	"L1CAM"	TRUE	NA	NA	TRUE	TRUE	FALSE	"ANK2_WH"	"2.1"	"7.2e-07"	"1.29"	"9.2e-06"	1
"10"	"ANK2"	"SPTBN1"	TRUE	NA	NA	TRUE	TRUE	FALSE	"ANK2_WH, ANK2_CNCR2"	"2.1, 13"	"7.2e-07, 5.1e-02"	"2.01,  4.3"	"7.2e-07, 5.1e-02"	2
"11"	"ARID1B"	"ARID1A"	TRUE	NA	NA	TRUE	TRUE	FALSE	"ARID1B_CNCR1, ARID1B_CNCR2"	"8.5, 9.7"	"1.1e-02, 4.9e-03"	" 8.8,  9.1"	"6.0e-03, 4.9e-03"	2
"12"	"ARID1B"	"ATXN2L"	TRUE	NA	NA	TRUE	TRUE	FALSE	"ARID1B_CNCR1"	"8.5"	"1.1e-02"	" 3.9"	"8.6e-02"	1
"13"	"ARID1B"	"DPYSL2"	NA	TRUE	NA	TRUE	FALSE	FALSE	"ARID1B_CNCR1, ARID1B_CNCR2"	"8.5, 9.7"	"1.1e-02, 4.9e-03"	" 3.3,  3.5"	"2.4e-02, 2.3e-02"	2
