a	c	percent	percent.genes	b	d	p.value	OR	Tissue	"p.adjust(df$p.value, method = ""fdr"")"	Group	TissueName	TissueCategory
120	1021	11.75318315	9.999194912	2484	24842	0.040343815	1.198763594	Adipose_Subcutaneous	0.064794612	IP.MS	Adipose - Subcutaneous	Adipose
127	1021	12.4387855	9.999194912	2484	24842	0.007711311	1.278622777	Adipose_Visceral_.Omentum.	0.014093086	IP.MS	Adipose - Visceral (Omentum)	Adipose
136	1021	13.32027424	9.999194912	2484	24842	0.000529738	1.383150704	Adrenal_Gland	0.00107985	IP.MS	Adrenal Gland	Other
124	1021	12.14495593	9.999194912	2484	24842	0.016412807	1.244246277	Artery_Aorta	0.028060606	IP.MS	Artery - Aorta	Cardiovascular
126	1021	12.34084231	9.999194912	2484	24842	0.009995784	1.267138976	Artery_Coronary	0.017659219	IP.MS	Artery - Coronary	Cardiovascular
186	1021	18.21743389	9.999194912	2484	24842	5.46E-15	2.004921399	Artery_Tibial	9.64E-14	IP.MS	Artery - Tibial	Cardiovascular
134	1021	13.12438786	9.999194912	2484	24842	0.001012766	1.359739054	Bladder	0.001988022	IP.MS	Bladder	Other
161	1021	15.76885406	9.999194912	2484	24842	1.39E-08	1.684988674	Brain_Amygdala	4.92E-08	IP.MS	Brain - Amygdala	CNS
178	1021	17.43388834	9.999194912	2484	24842	9.42E-13	1.90054388	Brain_Anterior_cingulate_cortex_.BA24.	7.13E-12	IP.MS	Brain - Anterior cingulate cortex (BA24)	CNS
145	1021	14.20176298	9.999194912	2484	24842	1.99E-05	1.489826119	Brain_Caudate_.basal_ganglia.	4.79E-05	IP.MS	Brain - Caudate (basal ganglia)	CNS
155	1021	15.18119491	9.999194912	2484	24842	2.61E-07	1.610955519	Brain_Cerebellar_Hemisphere	8.66E-07	IP.MS	Brain - Cerebellar Hemisphere	CNS
148	1021	14.49559256	9.999194912	2484	24842	5.84E-06	1.525873579	Brain_Cerebellum	1.55E-05	IP.MS	Brain - Cerebellum	CNS
171	1021	16.74828599	9.999194912	2484	24842	6.15E-11	1.810667787	Brain_Cortex	3.62E-10	IP.MS	Brain - Cortex	CNS
181	1021	17.72771792	9.999194912	2484	24842	1.43E-13	1.939446763	Brain_Frontal_Cortex_.BA9.	1.51E-12	IP.MS	Brain - Frontal Cortex (BA9)	CNS
168	1021	16.45445642	9.999194912	2484	24842	3.35E-10	1.772675617	Brain_Hippocampus	1.48E-09	IP.MS	Brain - Hippocampus	CNS
170	1021	16.6503428	9.999194912	2484	24842	1.09E-10	1.797983521	Brain_Hypothalamus	5.25E-10	IP.MS	Brain - Hypothalamus	CNS
150	1021	14.69147894	9.999194912	2484	24842	2.49E-06	1.550039828	Brain_Nucleus_accumbens_.basal_ganglia.	7.33E-06	IP.MS	Brain - Nucleus accumbens (basal ganglia)	CNS
