ip.overlap	ip.all	percent.ip	percent.gtex	gtex.ovelap	gtex.all	p.value	OR	Tissue	FDR	Group	TissueName
136	1021	13.32027424	9.999194912	2484	24842	0.000529738	1.383150704	Brain_Amygdala	0.001721648	IP.MS	Amygdala
152	1021	14.88736533	9.999194912	2484	24842	1.03E-06	1.574322019	Brain_Anterior_cingulate_cortex_.BA24.	4.47E-06	IP.MS	Anterior cingulate cortex
81	1021	7.933398629	9.999194912	2484	24842	0.988551816	0.775608447	Brain_Caudate_.basal_ganglia.	0.988551816	IP.MS	Caudate
153	1021	14.98530852	9.999194912	2484	24842	6.57E-07	1.586505064	Brain_Cerebellar_Hemisphere	4.27E-06	IP.MS	Cerebellar Hemisphere
123	1021	12.04701273	9.999194912	2484	24842	0.020789866	1.232838163	Brain_Cerebellum	0.045044709	IP.MS	Cerebellum
127	1021	12.4387855	9.999194912	2484	24842	0.007711311	1.278622777	Brain_Cortex	0.020049409	IP.MS	Cortex
183	1021	17.92360431	9.999194912	2484	24842	3.94E-14	1.965540728	Brain_Frontal_Cortex_.BA9.	5.12E-13	IP.MS	Frontal Cortex
110	1021	10.77375122	9.999194912	2484	24842	0.223635116	1.086841925	Brain_Hippocampus	0.363407064	IP.MS	Hippocampus
114	1021	11.165524	9.999194912	2484	24842	0.123458841	1.131273741	Brain_Hypothalamus	0.229280705	IP.MS	Hypothalamus
100	1021	9.794319295	9.999194912	2484	24842	0.6006243	0.977286008	Brain_Nucleus_accumbens_.basal_ganglia.	0.709828719	IP.MS	Nucleus accumbens
83	1021	8.129285015	9.999194912	2484	24842	0.980113563	0.796458137	Brain_Putamen_.basal_ganglia.	0.988551816	IP.MS	Putamen
107	1021	10.47992165	9.999194912	2484	24842	0.323257652	1.053716467	Brain_Spinal_cord_.cervical_c.1.	0.46692772	IP.MS	Spinal cord
104	1021	10.18609207	9.999194912	2484	24842	0.43856173	1.020812705	Brain_Substantia_nigra	0.570130248	IP.MS	Substantia nigra
