Tissue	TissueName
Brain_Amygdala	Amygdala
Brain_Anterior_cingulate_cortex_.BA24.	Anterior cingulate cortex
Brain_Caudate_.basal_ganglia.	Caudate
Brain_Cerebellar_Hemisphere	Cerebellar hemisphere
Brain_Cerebellum	Cerebellum
Brain_Cortex	Cortex
Brain_Frontal_Cortex_.BA9.	Frontal cortex
Brain_Hippocampus	Hippocampus
Brain_Hypothalamus	Hypothalamus
Brain_Nucleus_accumbens_.basal_ganglia.	Nucleus accumbens
Brain_Putamen_.basal_ganglia.	Putamen
Brain_Spinal_cord_.cervical_c.1.	Spinal cord
Brain_Substantia_nigra	Substantia nigra
