Protein_Gene	RNA_Gene		
IGF2BP1	AAAS		
IGF2BP1	AAGAB		
IGF2BP1	AARS		
IGF2BP1	AASDHPPT		
IGF2BP1	ABCA2		
IGF2BP1	ABCA3		
IGF2BP1	ABCB7		
IGF2BP1	ABCE1		
IGF2BP1	ABCF2		
IGF2BP1	ABHD10		
IGF2BP1	ABHD12		
IGF2BP1	ABHD2		
IGF2BP1	ABI1		
IGF2BP1	ABI2		
IGF2BP1	ABL1		
IGF2BP1	ABL2		
IGF2BP1	ABLIM1		
IGF2BP1	ABR		
IGF2BP1	ABT1		
IGF2BP1	AC011530.4		
IGF2BP1	AC079949.1		
IGF2BP1	AC093323.3		
IGF2BP1	ACACA		
IGF2BP1	ACADM		
IGF2BP1	ACAT2		
IGF2BP1	ACBD3		
IGF2BP1	ACBD6		
IGF2BP1	ACIN1		
IGF2BP1	ACLY		
IGF2BP1	ACOT7		
IGF2BP1	ACOX1		
IGF2BP1	ACP1		
IGF2BP1	ACSL3		
IGF2BP1	ACSL4		
IGF2BP1	ACTB		
IGF2BP1	ACTG1		
IGF2BP1	ACTL6A		
IGF2BP1	ACTN1		
IGF2BP1	ACTN4		
IGF2BP1	ACTR1A		
IGF2BP1	ACTR3		
IGF2BP1	ACVR1B		
IGF2BP1	ACYP1		
IGF2BP1	ADA		
IGF2BP1	ADAM10		
IGF2BP1	ADAM15		
IGF2BP1	ADAM17		
IGF2BP1	ADAM9		
IGF2BP1	ADAR		
IGF2BP1	ADCY3		
IGF2BP1	ADD2		
IGF2BP1	ADD3		
IGF2BP1	ADGRA3		
IGF2BP1	ADGRL1		
IGF2BP1	ADH5		
IGF2BP1	ADIPOR2		
IGF2BP1	ADK		
IGF2BP1	ADNP		
IGF2BP1	ADNP2		
IGF2BP1	ADO		
IGF2BP1	ADPGK		
IGF2BP1	ADPRHL1		
IGF2BP1	ADPRHL2		
IGF2BP1	ADSL		
IGF2BP1	ADSS		
IGF2BP1	AEN		
IGF2BP1	AES		
IGF2BP1	AFF1		
IGF2BP1	AFF4		
IGF2BP1	AFTPH		
IGF2BP1	AGAP1		
IGF2BP1	AGFG1		
IGF2BP1	AGK		
IGF2BP1	AGO1		
IGF2BP1	AGO2		
IGF2BP1	AGPAT1		
IGF2BP1	AGPAT3		
IGF2BP1	AGPAT5		
IGF2BP1	AGTPBP1		
IGF2BP1	AGTRAP		
IGF2BP1	AHCY		
IGF2BP1	AHCYL1		
IGF2BP1	AHR		
IGF2BP1	AHRR		
IGF2BP1	AHSA1		
IGF2BP1	AIF1L		
IGF2BP1	AK2		
IGF2BP1	AK4		
IGF2BP1	AK6		
IGF2BP1	AKAP1		
IGF2BP1	AKAP10		
IGF2BP1	AKAP11		
IGF2BP1	AKAP12		
IGF2BP1	AKAP2		
