Specificity	GO_CC	Population	SpecificInts	CC	Overlap	Pvalue	OverlapGenes
WT	cytosol	232	5	133	1	0.986663873303523	RPLP2
MUT	cytosol	232	43	133	17	0.997227558040744	KRT14,BCR,HSPA1L,PPIA,TUBA1A,HSPA5,DST,SORBS1,ADD2,LIMA1,CFL1,ADD1,RNF31,TJP1,RPL24,LMO7,RPL8
WT	plasma membrane	232	5	46	0	1	
MUT	plasma membrane	232	43	46	12	0.105958020881913	CASS4,BCR,MARK1,HSPA1L,ATP5PO,HSPA5,LIMA1,ADD1,CALM3,PALM,TJP1,BASP1
WT	immunoglobulin complex	232	5	0	0	1	
MUT	immunoglobulin complex	232	43	0	0	1	
WT	alpha-beta T cell receptor complex	232	5	0	0	1	
MUT	alpha-beta T cell receptor complex	232	43	0	0	1	
WT	T cell receptor complex	232	5	0	0	1	
MUT	T cell receptor complex	232	43	0	0	1	
WT	extracellular region	232	5	17	1	0.318835473533191	TIMP1
MUT	extracellular region	232	43	17	3	0.643553230263104	LAMC1,PPIA,TUBB
WT	integral component of membrane	232	5	6	1	0.12380921175191	PSD2
MUT	integral component of membrane	232	43	6	2	0.308257889483348	ATP2C1,DST
WT	cytoplasm	232	5	85	2	0.604495990654095	ARPC5L,EEF1A1P5
MUT	cytoplasm	232	43	85	21	0.0493348727093873	KRT14,CASS4,MARK1,HSPA1L,TUBB3,TUBA1A,HSPA5,TUBB2A,DST,TUBB2B,TUBB,NAV1,PHB2,CFL1,ADD1,CALM3,TJP1,BASP1,TRIOBP,RPL24,LMO7
WT	elongin complex	232	5	0	0	1	
MUT	elongin complex	232	43	0	0	1	
WT	condensed chromosome kinetochore	232	5	0	0	1	
MUT	condensed chromosome kinetochore	232	43	0	0	1	
WT	condensed nuclear chromosome, centromeric region	232	5	0	0	1	
MUT	condensed nuclear chromosome, centromeric region	232	43	0	0	1	
WT	cell	232	5	13	0	1	
MUT	cell	232	43	13	4	0.20397960470048	ATP2C1,ADD1,KIF5C,CALM3
WT	mitochondrion	232	5	10	0	1	
MUT	mitochondrion	232	43	10	3	0.276238948851082	ATP5PO,HSPA5,PHB2
WT	centrosome	232	5	10	0	1	
MUT	centrosome	232	43	10	2	0.583104874492112	SORBS1,CALM3
WT	immunological synapse	232	5	1	0	1	
MUT	immunological synapse	232	43	1	0	1	
WT	integral component of plasma membrane	232	5	1	0	1	
MUT	integral component of plasma membrane	232	43	1	0	1	
WT	membrane	232	5	68	1	0.826661834666336	RPLP2
