SetType	SetName	Network	PopCount	IntCount	SetCount	OverlapCount	OverlapP	OverlapGenes
GTEx_all	Adipose - Subcutaneous	COMBINED	24083	931	2408	117	0.00558361300575477	ACSL1,ADAM12,AGTR1,AKAP12,AKAP8,AP3B1,ATF7IP,B2M,BCLAF1,CAT,CBX3,CDC27,CDC73,CHD1,CHMP3,COL4A3BP,CPD,CSNK1E,CTNNA1,CYTH3,DBN1,DHX15,DLST,EBF1,EEF1A1,EHD2,EIF3D,EIF3E,EIF3G,EIF4A1,ELF2,FNTA,FTH1,GNAI1,GNAI2,GNAI3,GNG2,H2AFJ,HIP1,HNRNPA0,HNRNPUL1,IFI16,IRF2,ITGB1,KCTD12,LACTB,LAMA2,MAP1LC3B,MASTL,MCCC1,MED4,MED8,MGST3,MYH9,MYO1B,NAV1,NRP1,NUP153,PABPC1,PAK2,PCBP1,PCBP2,PDCD6IP,PGM3,PIK3C2A,PLXDC2,PLXNA4,PML,PPP3CC,PRICKLE2,PTBP1,PTPRS,PWP1,RAB1A,RAB2A,RAB5C,RBMS1,RC3H2,RFTN1,RHOJ,RNF169,RPL12,RPL19,RPL26,RPL27,RPL30,RPL34,RPL35A,RPL5,RPL7,RPLP2,RPS12,RPS14,RPS27,RPS9,SERBP1,SF3A1,SF3B1,SH3GLB1,SLC25A1,SMARCD1,SMARCE1,SNX9,SPTBN1,SRSF3,STOM,SUN2,TBC1D2B,TCP1,TP53I11,TRA2B,UBA52,VIM,VWF,WDR43,WDR61,XRN2
GTEx_all	Adipose - Subcutaneous	InWeb	24083	1561	2408	258	9.09569841623859e-17	ABL2,ACACB,ACOX1,ACVR1,AHCTF1,AHR,AKAP12,ANXA2,APPL1,ARCN1,ARHGEF7,ARID5B,ARNT,AZI2,BCL2L1,BCL6,BICC1,BMP2,BNIP2,BTF3,C17orf49,CAPZA2,CARD8,CAV1,CBX3,CCND1,CCNH,CD209,CD59,CDC27,CDC42,CDC5L,CDC73,CDH5,CEBPA,CENPC,CEP120,CHD9,CLK1,CNOT6L,COPB1,COPS2,COPZ2,CRBN,CREB1,CRK,CSNK1E,CSNK1G3,CTNNA1,CWC22,DAZAP2,DBN1,DDX21,DDX50,DICER1,DISC1,DOK1,DUSP4,DVL3,DYNC2H1,ECSCR,EEF1A1,EGFR,EIF4B,EIF4EBP1,EIF4EBP2,EIF4EBP3,EPAS1,EPB42,EPHB4,ETS1,EXOC2,FABP4,FAM89A,FASN,FERMT2,FEZ2,FGD4,FGFR1,FLT1,FNTA,FOXO1,FOXO3,FYN,GEMIN5,GFPT1,GFRA1,GLTSCR2,GNA13,GNAI1,GNAI2,GNB2L1,GNB4,GTF2E2,HAVCR2,HDAC7,HIC1,HILPDA,HOXB7,IGF1,IKBKB,JADE1,JAK1,JAK2,JUN,KDR,LAMB2,LAMC1,LATS1,LATS2,LGALS1,LHX6,LIMA1,LIMS1,LMNA,LRP1,LRP5,MAP1LC3B,MAP3K11,MAP3K2,MAP3K3,MCCC1,MDM2,MED15,MED30,MED4,MED8,MET,MPZL1,MYC,MYH9,MYL12B,MYO1B,MYO1C,MYOF,NCK1,NCOA3,NEURL2,NFKB1,NFKBIA,NOTCH1,NQO2,NR1H3,NR5A2,NUCB1,NUP153,NUP54,PARP12,PBRM1,PC,PDGFRA,PDGFRB,PIK3CA,PIK3R1,PKN1,PKN2,PKN3,PML,POLR2E,POLR2G,POLR2L,PPARG,PPP2R2A,PRKAA1,PRKAR2B,PRKCD,PRKD2,PSMA7,PTBP1,PTMA,PTPN12,PTPRB,PTPRF,PTPRG,PTPRM,PUS7,PXN,RAB1B,RAB8B,RASA1,RASA3,RASA4,RASAL2,RB1,RBL2,RBM28,RBPJ,RELA,RLF,RNASEK,RNF130,RNF169,RNF2,ROCK1,RPL12,RPL21,RPL23,RPL27,RPL7,RPLP2,RPS13,RPS15A,RPS20,RPS25,RPS27,RPS6,RPS6KA2,RPS6KB1,RPS9,RREB1,RSL1D1,RXRA,RYK,SDCBP,SDPR,SEPSECS,SERBP1,SF3B1,SHC1,SIAH1,SIRT1,SMAD2,SMAD3,SMARCD1,SMARCE1,SMURF1,SNTB2,SNW1,SOX13,SOX17,SOX4,SOX7,SP1,SPTBN1,SRSF4,SSB,STAT3,STOM,STX5,TANK,TAOK1,TCF4,TCF7L1,TCF7L2,TGFBR2,TRIP10,UBA52,UBE2D3,UHRF2,USP39,UTRN,VIM,WTAP,WWP1,YAP1,YES1,ZFP36,ZMIZ1
GTEx_all	Adipose - Visceral	COMBINED	24083	931	2408	127	0.000178054044823663	ACSL1,ACTG1,ADAM12,AGTR1,AKAP12,ARF4,B2M,C3,CAT,CCT5,CDC26,CDC27,CHD1,CPD,CSNK1E,CYTH3,DAPK1,DDX5,DHX15,DNAJA1,EBF1,EEF1A1,EHD2,EIF3E,EIF3M,EIF4A1,EIF4A3,ELF2,EPB41L3,FTH1,GNAI1,GNAI2,GNAI3,GRWD1,H2AFJ,HIP1,HNRNPA0,HNRNPAB,HNRNPF,HNRNPH1,IFI16,INTS6,ISL1,KCTD12,LAMA2,LCP2,LDHA,LGALS3BP,MCCC1,MGAT2,MGST3,MYO1B,NAV1,NES,NGFR,NLRP3,NOP58,NRP1,NUFIP2,NUP153,PABPC1,PAK2,PCBP1,PCBP2,PCDH12,PGM3,PIK3C2A,PKHD1L1,PLXDC2,PLXNA4,PML,POM121,PPFIBP1,PRICKLE2,PTBP1,PTPRS,RAB1A,RAB5C,RBMS1,RFTN1,RHOB,RHOJ,RPL10A,RPL12,RPL13,RPL13A,RPL14,RPL18A,RPL19,RPL26,RPL27,RPL28,RPL30,RPL34,RPL35A,RPL5,RPL6,RPL7,RPL7A,RPLP0,RPLP2,RPS12,RPS16,RPS27,RPS3A,RPS8,RPS9,SERBP1,SH3GLB1,SLC25A1,SNX9,SPTBN1,SRSF10,SRSF3,SRSF6,SRSF7,STOM,TBC1D2B,TCP1,TP53I11,TRA2B,UBA52,VIM,VWF,WDR43,XRN2,ZC3HAV1
GTEx_all	Adipose - Visceral	InWeb	24083	1561	2408	228	1.70151493697346e-09	ABCE1,ABL2,ACACB,ACOX1,AHR,AKAP12,ARF4,ARHGEF7,ARID5B,ARNT,ATP13A3,AZI2,BCL3,BET1,BICC1,BMP2,BMPER,BNIP2,BOC,BTF3,CARD8,CAV1,CCND3,CCNH,CCT5,CD209,CD59,CDC27,CDC42,CDH5,CDON,CEBPA,CNOT6L,COPZ2,CREB1,CRK,CSNK1E,CSNK1G3,DDX21,DDX5,DNAJA1,DOK1,DOK2,DUSP4,DYRK3,E2F4,ECSCR,EEF1A1,EGR1,EIF4EBP1,EIF4EBP2,ELL2,EPAS1,EPHB4,ETS1,FABP4,FAM89A,FAS,FASN,FERMT2,FGD4,FGFR1,FLT1,FOXO1,FYN,G3BP1,GFPT1,GFRA1,GNA13,GNAI1,GNAI2,GNB2L1,GRAMD1A,GTF2B,GTF2E2,HAVCR2,HDAC7,HELZ,HELZ2,HIC1,HILPDA,HOXA5,HOXB2,HOXB7,IFRD1,IGF1,JAK1,JUN,KDR,KLF4,LAMB1,LAMC1,LATS2,LGALS1,LHX6,LIMA1,LIMS1,LMNA,LRP1,MAP3K11,MAP3K3,MAPK11,MAPRE1,MCCC1,MED30,MET,MPDZ,MPZL1,MRPS15,MYC,MYL12B,MYO1B,MYO1C,NCK1,NEURL2,NFATC1,NFATC2,NFKB1,NFKBIA,NOLC1,NOP58,NOS3,NOTCH1,NQO2,NR1H3,NR4A1,NR5A2,NRAS,NTRK1,NUCB1,NUFIP2,NUP153,PBRM1,PC,PCDHB15,PDGFRA,PDGFRB,PIK3CA,PKN3,PLA2G4A,PML,POLR2E,POLR2L,POU5F1B,PPARG,PPFIBP1,PRKAA1,PRKAR2B,PRKCD,PRKD2,PSMA7,PTBP1,PTH1R,PTMA,PTPN12,PTPRB,PTPRF,PTPRG,PTPRM,PUS7,PXN,RAB8B,RARA,RASA3,RB1,RBPJ,RCAN1,RELA,RELB,RIPK2,RNF130,RNF2,RPL10A,RPL12,RPL13,RPL13A,RPL14,RPL21,RPL23,RPL27,RPL31,RPL7,RPLP0,RPLP2,RPS13,RPS15A,RPS20,RPS25,RPS27,RPS27A,RPS6,RPS9,RSL1D1,RYK,SDCBP,SDPR,SERBP1,SGK1,SHC1,SIAH1,SLC9A3R2,SMAD3,SNTB2,SOX13,SOX17,SOX7,SPTBN1,SRSF4,SSB,STAT3,STOM,TANK,TCF4,TCF7L1,TCF7L2,TEAD2,TGFBR2,TGIF1,TLE1,TXNDC5,UBA52,UBC,UBE2D3,UTRN,VIM,WTAP,YES1,ZFP36
GTEx_all	Adrenal gland	COMBINED	24083	931	2408	129	8.01675911954717e-05	AGTR1,AKR1B1,AP2A1,AP2M1,AP2S1,AP3M1,ARF4,ATP6V1D,BCKDHA,BORCS7,BUB3,C3,C8orf31,CAT,CBX3,CCT7,CDH2,CHD4,CHMP2A,CKAP5,CLTC,CMAS,COL4A3BP,COPB2,COQ6,CPEB4,CTR9,DBT,DCAF10,DDX24,DDX5,DLD,DLST,DNAJA1,DPM1,DPY30,EIF3I,EIF3M,EIF4A3,FAM117B,FLOT1,GET4,HEXIM1,HMBOX1,HNRNPA0,HNRNPAB,HS6ST1,HSD17B12,HSP90AB1,IMMT,IRF2,LACTB,LGALS3BP,LRRC8D,MARK3,MCCC1,MCCC2,MCEE,MED20,MED31,MGAT2,MMAA,MOCS2,MPG,MRPL2,MRPL46,MRPL47,MRPS18B,MSI2,MVP,NUDT16L1,NUDT6,PCBP1,PCBP2,PCCA,PCCB,PCDHGB6,PDGFD,PDHB,PGAM5,PGM3,PHB,PHB2,PLEKHA5,PPP1CA,PSMD12,RAB11A,RAB1A,RAB5C,RBM4,RFC1,RIMS2,RPA3,RPL36,RTCA,SAMM50,SARM1,SCAP,SEC24C,SLC25A13,SLC25A3,SNAPIN,SOAT1,SREBF2,SRSF6,SRSF9,SSBP1,TFB2M,TFG,TMEM245,TSG101,TUFM,TXNRD1,UMPS,UNC5C,USP5,VAC14,VAPA,VASH1,VPS18,WDR18,WDR37,WDR6,WDR61,XRCC6,XRN2,YTHDF2,ZC3HAV1,ZMYND8
GTEx_all	Adrenal gland	InWeb	24083	1561	2408	193	0.000986628090337852	ACADVL,ACP1,ACVR2B,ADCK1,AKT1,AMHR2,AP2A1,AP2M1,ARF4,ARFGAP3,ATP5C1,B9D2,BAIAP2L1,BCKDHA,BCKDK,BET1,C1QBP,CBX3,CBY1,CCDC8,CCND2,CCND3,CCNE1,CCT3,CD55,CDH2,CDK7,CHD4,CHGB,CLK2,CLTC,COG2,COG3,COG4,COG8,COPB2,COPE,COPG1,COPG2,COPZ1,CTTN,DAXX,DBT,DCAF11,DCTN4,DDB1,DDB2,DDX5,DLG5,DNAAF2,DNAJA1,DRGX,EIF2AK1,EIF4EBP3,EPHB4,ESR2,EZR,FAM117B,FAM210B,FANCL,FAS,FHIT,GJA1,GOLGB1,GPC1,GSPT1,GSTO1,GTF2B,GTF2E2,HDAC3,HDAC7,HIF1A,HOXA5,HOXB2,HOXB7,HSP90AB1,HSPA9,HSPD1,KAT2A,KBTBD4,KDELR1,KDM4A,L3MBTL3,LAMB2,LEF1,LIMS1,MANBA,MAP3K5,MARK3,MCAT,MCCC1,MCCC2,MED11,MED15,MED18,MED19,MED20,MED21,MED25,MED31,MED7,MEIS1,MEN1,MOV10,MRPS9,MSH6,MVP,MYL12B,MYO7A,NCKAP5L,NCLN,NEDD8,NIPSNAP1,NLK,NME1,NQO2,NR5A1,NRCAM,NUP62,OBSL1,OSGIN1,P4HB,PARK7,PBXIP1,PCCA,PCCB,PDCD6,PELO,PEX10,PHB,PHB2,PHKB,PINK1,PKM,PLA2G4A,POLDIP2,POLR2A,POLR2G,POLR2H,POLR2J,POLR2L,PPP1CA,PPP1R10,PPP2R1A,PPP2R4,PRKACA,PRKCA,PRKCD,PSEN2,PSMA4,PTH1R,PYGO2,QPRT,RAB11A,RAB27A,RAB4B,RALA,RASAL1,RBBP5,RET,RFC3,RNASEK,RNF14,RPN2,RPS26,RREB1,SGK1,SIGMAR1,SIRT1,SLC25A3,SLC9A3R1,SMARCA5,SRC,SS18,STIP1,STK16,STUB1,SUMO1,TADA3,TBK1,TMED9,TMEM115,TRAPPC11,TRMT112,TUFM,UBB,UBE2D3,UMPS,UNC119B,UNG,VEZT,XRCC6,ZNF462
GTEx_all	Artery - Aorta	COMBINED	24083	931	2408	123	0.000788277079610627	ACTB,ACTG1,ADD1,AKAP1,APLP2,ARF1,ARF4,ARHGEF2,ARL6IP4,ARPC2,ATP10A,BANF1,BCL7C,BDNF,BORCS5,CAMSAP2,CDC73,CDH11,CFL1,CHMP2B,CHMP3,CHMP4B,CKAP4,COPA,COPB2,CPE,CTNNA1,CYTH3,DBN1,DDX24,DDX5,DOCK10,DPYSL3,DUT,DYNC1I2,EBF1,EHD2,ELF2,ENAH,ENO1,ERC1,FAM177A1,FAT4,GANAB,GNAI2,H2AFJ,HEXIM1,HIP1,HNRNPA0,HNRNPLL,HSD17B12,HSPA5,ITGB1,KXD1,LDHA,MACF1,MAP1B,MED22,MED27,MFAP4,MGST3,MPG,MPRIP,MTDH,MYEF2,MYH10,MYH9,MYL6,MYO1B,NAV1,NCKAP1,NDEL1,OSBPL5,P4HA2,PACS1,PCBP1,PCDHGB4,PCDHGB6,PDCD6IP,PDE5A,PDGFD,PFN1,PKD1,PLD3,PLXDC2,PLXNA4,PPFIBP1,PPP1R12A,PRKRA,PTPN1,RAB1A,RAB3GAP1,RAB5C,RABGAP1,RALY,RBMS1,RBMXL1,RFTN1,RHOB,RPL15,RPL36AL,RPLP1,SACS,SARM1,SEC13,SEC23A,SEC31A,SF3B2,SKP1,SMARCD3,SNX9,SRP14,STAU1,SUN2,SYNE1,TXNRD1,UNC5C,UST,VCL,VIM,XPR1,ZBTB10,ZFHX3
GTEx_all	Artery - Aorta	InWeb	24083	1561	2408	229	1.05208643106604e-09	ABL1,ACTB,ACTN1,ACTN4,ACVR1,AFF4,AKT1,ALPK3,APP,ARCN1,ARF4,ARFGAP3,ARHGEF10L,ARID5B,ARNT,ATP13A3,BAG2,BCL2L1,BCL7B,BCL7C,BCL9L,BET1L,BMI1,BMPR1A,BMPR1B,BNIP2,CALCOCO1,CAMK2G,CAPZA2,CAPZB,CBX1,CCDC102A,CCDC8,CCND1,CCND2,CD209,CD55,CD59,CDC73,CDH11,CFL1,CHD1L,COG5,COPA,COPB2,COPG1,COPZ2,CREB1,CTNNA1,CTTN,DACT1,DACT3,DAG1,DAXX,DAZAP2,DBN1,DCHS1,DCTN6,DDB2,DDX5,DDX50,DGUOK,DLGAP4,DNAJB5,DUSP7,DYNC1I2,E2F3,EGR1,ELL2,ENO1,EPAS1,ERBB2,FAT4,FERMT2,FGFR1,FOXJ2,FOXS1,FRK,FRYL,FZD8,GFPT1,GJA1,GLIS2,GNAI2,GNB4,GOLGA2,GSTO1,HDAC7,HOXB2,ID2,IFRD1,IGF1R,IGFBP2,ILK,IPO8,IPO9,IQGAP1,JAK2,KANK1,KDELR1,KMT2A,L3MBTL3,LAMB2,LATS2,LEFTY2,LGALS1,LIMS1,LMNA,LRP1,LRP5,LRP6,LRPAP1,LRRFIP1,LRRFIP2,LTBP4,LZTS2,MANBA,MAP3K2,MAP3K3,MAP3K5,MAPRE1,MED15,MED21,MED22,MED27,MED30,MNAT1,MPDZ,MPRIP,MPZL1,MTHFD2,MYH10,MYH11,MYH9,MYL12B,MYO1B,MYO1C,MYO1D,MYOF,NAGA,NCOA3,NCOR1,NDEL1,NFATC1,NINL,NR4A1,NTN1,NUCB1,NUMBL,NXF1,PBXIP1,PCDHB15,PDGFRA,PDGFRB,PELO,PIK3CA,PIP4K2C,PKD1,PLEC,POLR2C,POLR2K,PPFIBP1,PRKAA1,PRMT2,PTMA,PTPN1,PTPRG,PTPRO,RAB1B,RAB27A,RARA,RBL2,RELA,ROCK1,RPN2,RWDD1,SEC23A,SHC1,SIGMAR1,SKP1,SMAD7,SMAD9,SMTN,SMURF1,SORT1,SPEG,SPINT2,SPNS1,SPOP,SRC,SS18,SSB,STAT3,SUMO4,TAX1BP3,TCF7L1,TCF7L2,TERF1,TGFBR1,TGFBR2,TGM2,TLE1,TMED10,TMED2,TMED7,TMED9,TP53BP2,TRIP10,TRIP6,TRMT112,TTBK2,TUBA1C,TXNDC5,UBC,UBE2I,UBP1,UHRF1BP1L,VCL,VEZT,VIM,WEE1,WWP2,WWTR1,YAP1,ZCCHC10,ZFP36,ZNF362,ZNF592,ZNF703
GTEx_all	Artery - Coronary	COMBINED	24083	931	2408	124	0.000550875149304446	ACTB,ACTG1,ADD1,AKAP1,AKAP12,AP2S1,AP3M1,APLP2,ARF1,ARF4,ARHGEF2,ARL6IP4,ARPC2,ATP10A,B2M,BANF1,BCL7C,C3,CDC26,CDC73,CDH11,CDH2,CDH6,CFL1,CHMP2B,CHMP3,CHMP4A,CKAP4,COL1A1,CTNNA1,CYTH3,DDX5,DPYSL3,DYNC1I2,EBF1,EHD2,ELF2,EML4,ENAH,ERC1,FAM177A1,FAT4,GANAB,GNAI2,H2AFJ,HEXIM1,HIP1,HNRNPDL,HSD17B12,ITGB1,KXD1,LAMA2,LGALS3BP,LGI2,MACF1,MAP1B,MAPRE2,MARK1,MED22,MED27,MFAP4,MGST3,MIA3,MPG,MPRIP,MTDH,MYEF2,MYH10,MYH9,MYL6,NAV1,NCKAP1,NDEL1,OSBPL5,P4HA2,PACS1,PCBP1,PDCD6IP,PDE5A,PDGFD,PFN1,PIK3C2A,PLXDC2,PPP1R12A,PPP3CC,PRKRA,PTPN14,PTPRS,RAB1A,RAB3GAP1,RAB5C,RABGAP1,RALY,RBMS1,RBMXL1,RHOB,RPL15,RPL36AL,RPLP1,SACS,SEC13,SEC23A,SEC31A,SESN3,SKP1,SMARCD3,SMARCE1,SNX9,SPECC1L,SRP14,SSBP2,SSBP3,STAU1,SUN2,TBC1D2B,TP53I11,TXNRD1,UNC5C,VASH1,VCL,VIM,YBX1,ZBTB10,ZFHX3
GTEx_all	Artery - Coronary	InWeb	24083	1561	2408	215	5.3216070728595e-07	ACTB,ACTN1,ACTN4,ACVR1,AFF4,AHCTF1,AKAP12,AKT1,ARCN1,ARF4,ARFGAP3,ARHGEF10L,ARHGEF7,ARID5B,ARNT,ARTN,ASCC3,ATP13A3,BAG2,BCL2L1,BCL7B,BCL7C,BCL9L,BET1L,BICC1,BMI1,BMPR1A,BNIP2,CALCOCO1,CAMK2G,CAPZA2,CAPZB,CAV1,CBY1,CCDC102A,CCDC8,CD209,CD59,CDC5L,CDC73,CDH11,CDH2,CDH6,CEP120,CFL1,COPZ2,CRK,CTNNA1,CTTN,DACT1,DACT3,DAZAP2,DDX5,DDX50,DGUOK,DLGAP4,DYNC1I2,DYNLT1,E2F3,ECSCR,EGR1,ELL2,EPAS1,FAM117A,FAS,FAT4,FER,FERMT2,FGFR1,FOXO3,FOXS1,FRK,FRYL,GFPT1,GLI2,GLIS2,GNAI2,GNB4,GOLGB1,GSTO1,HAVCR2,HDAC7,HOXB2,ID2,IFRD1,IGF1,IGF1R,IGFBP2,ILK,IPO8,IQGAP1,JADE1,JAK2,KANK1,KDELR1,L3MBTL3,LAMB2,LATS2,LGALS1,LIMS1,LMNA,LRP1,LRP5,LRPAP1,LRRFIP1,LTBP4,LZTS2,MAP3K3,MAPRE1,MARK1,MED15,MED21,MED22,MED27,MED30,MED7,MPDZ,MPRIP,MPZL1,MTHFD2,MYH10,MYH11,MYH9,MYL12B,MYO1C,MYO1D,MYOF,NAGA,NCKAP5L,NCOA3,NDEL1,NEURL2,NR4A1,NUCB1,NUMBL,NXF1,PBXIP1,PCDHB15,PDGFRA,PDGFRB,PELO,PIK3CA,PIP4K2C,PLA2G4A,PLEC,POLR2C,POLR2K,PRKAA1,PRMT2,PTK2,PTMA,PTPN12,PTPN14,PTPRG,PTPRK,PTPRO,RAB1B,RAB27A,RAB8B,RANBP3L,RAP2A,RARA,RASAL2,RB1,RBL2,RELA,ROCK1,RPN2,RWDD1,RYK,SEC23A,SHC1,SIGMAR1,SKP1,SMAD7,SMARCE1,SMC4,SMURF1,SNTB2,SORT1,SPEG,SPNS1,SPOP,SS18,SSB,STAT3,TAX1BP3,TCF7L1,TCF7L2,TEAD2,TERF1,TGFBR1,TGFBR2,TGM2,TMED10,TMED2,TMED7,TRIP10,TRIP6,TRMT112,TUBA1C,TXNDC5,UBC,UBE2I,UBP1,UHRF1BP1L,UTRN,VCL,VIM,WWP2,WWTR1,YAP1,YBX1,ZNF362,ZNF703
