Gene	d0	d21	d51
TSPAN6	6.8928886599157	3.453541789232	3.19233008168502
TNMD	1.27009069892077	-2.75693286748131	-3.07475331449171
DPM1	4.10787670700191	3.4278459735799	3.20702495966046
SCYL3	3.06943458413026	3.77317909357121	3.77062993617109
C1orf112	5.35577779761638	2.41126638674068	1.94160582220884
FUCA2	4.76447185309333	2.97448638644829	3.39307466749959
GCLC	5.44060225568387	4.21359783202373	4.01081339395028
NFYA	6.70215149561898	5.91458669197628	5.94597201919296
STPG1	2.97960406562514	0.743044496923852	2.89800834776424
NIPAL3	3.76354682634532	4.82377398340184	5.55147010133509
LAS1L	5.68386492483251	4.49102296971898	3.69529744822041
ENPP4	2.62816136633555	4.95440746217435	5.44686189945968
SEMA3F	4.59370742208311	2.48970557447088	2.94543487315574
CFTR	-0.713688351230631	-2.75693286748131	-3.07475331449171
ANKIB1	6.22224429276497	7.06504520285383	6.74873963004139
CYP51A1	-0.306961885740782	0.284187206497383	0.339625405516126
KRIT1	6.06724109606894	6.05012086706981	5.66859156013426
RAD52	2.97942563416449	3.36336347412529	2.94375761068106
BAD	2.25029416210374	3.42211433861852	3.81363616177297
LAP3	4.61371169295615	2.87836426242309	3.01170107654309
CD99	4.9194603830999	0.131850530972943	1.70832099232584
HS3ST1	-0.496598224858033	2.14332448763257	2.78549673656834
HECW1	3.15819257938397	7.87633425487577	7.01439982433472
MAD1L1	4.78135295162436	4.3478687642711	4.28705622971546
LASP1	7.1938044998413	5.80279225994649	6.14056961862549
SNX11	2.05439569263649	2.29658462100345	2.32495456114953
TMEM176A	-3.0747533144917	-2.75218505866831	-0.492445565704695
M6PR	5.8293221989669	4.8911156608897	5.09180546642917
KLHL13	2.59176904896285	5.0098354935269	3.82233394935604
CYP26B1	-2.02458270549342	0.673857017828462	-1.38108749911226
ICA1	4.61715695572371	3.69276698936271	4.89790592694305
DBNDD1	5.50987077542634	5.09609498141667	5.33920701897476
ALS2	6.10057977967218	6.17588153402508	5.85919423073269
CASP10	1.586313779092	-2.43436461165791	-1.3198640171813
CFLAR	4.7513595583593	6.69900537268387	6.39354683381848
TFPI	3.57357749752206	-2.43436461165791	-2.57241212841894
NDUFAF7	5.28047132784004	5.02215209885311	4.55729655051553
RBM5	6.53899737618976	7.60621257020301	7.18708957025187
MTMR7	3.57656580678329	6.6529160578898	6.57117185137572
SLC7A2	5.74244854277022	-0.25575068368422	0.495795766998188
ARF5	3.36373543369638	3.2136818775341	3.40475267849665
SARM1	1.0585679071547	5.5131817846444	5.30330688872713
POLDIP2	4.78177227043486	3.86540222560853	3.92319850118668
PLXND1	5.38063485062082	-0.0192192440461195	2.03953605298017
AK2	5.38927722559402	4.56631590877329	4.08747888032291
CD38	-0.314499398825475	-2.75693286748131	-2.78071042944395
FKBP4	8.07757774235415	7.24685231979284	7.48189794495273
KDM1A	8.58193636029315	7.58817311488784	7.50587096881114
RBM6	6.91680582893348	6.52107826777051	6.15454751100213
CAMKK1	3.22297172324852	2.47418343604467	2.69919384748368
RECQL	6.06284395608952	4.52324894087844	4.03179948498756
VPS50	4.51896881831526	5.89449547701894	5.66878090792848
ARHGAP33	2.30046015993933	4.71198630396318	4.09875813708268
NDUFAB1	4.51633342019171	4.06627390864655	4.4473168533317
ZMYND10	-2.20146072796322	-0.454325784620785	-0.713960875681916
SLC25A13	5.86106152483393	4.93150224959387	5.08542308646817
ST7	3.62093461250881	5.92014067300994	5.20336796253194
CDC27	6.39177854672629	6.50363737703484	6.63252506580692
CALCR	-0.829232489893363	-3.0747533144917	-3.07475331449171
HCCS	3.71915061087737	3.19431161724457	3.30827021858171
DVL2	3.84080001934093	2.86999409639679	2.92350937930819
UPF1	6.07550263888036	5.16819612700958	5.36754500262411
SKAP2	2.94122284521546	4.74650511517758	6.63253852644455
SLC25A5	6.75241370265157	4.3071531487198	4.98218228964493
CCDC109B	4.5311852710236	1.76274587648618	2.91262406825762
POLR2J	2.75382747819753	1.9623940850453	1.77546598644598
DHX33	5.95008574473406	3.89148081869819	3.74111865058244
THSD7A	3.04036437954653	9.30913876827972	9.9154426015873
LIG3	7.07306642171478	5.37223310444164	5.29454589057264
RPAP3	6.85919684404959	6.43168883679582	6.56020083002685
ACSM3	1.09060965055931	-1.65455212313007	-2.07124437866483
AC004381.6	2.53465942964194	1.61801387427696	2.12065275598542
CIAPIN1	4.62375051933066	4.40182742917175	4.58989850406983
SPPL2B	3.45563351036403	2.73721502197676	2.23046421353395
FAM214B	2.20295121905259	3.33128830382406	3.93025305373122
PRKAR2B	5.61971825746179	7.91909993561149	7.60761411018878
MSL3	3.39900633503408	4.14438843837006	4.28948219488405
