Variable	Test	Set	IntCount	nonIntCount	pDir	Stat	Pvalue
gnomAD pLI	Conditional	ADNP	11	1236	less	0.0720064724919094	0.893095029278021
gnomAD pLI	Global	ADNP	11	19179	less	0.337182240044746	0.0821024642206278
gnomAD pLI	Conditional	ANK2	102	1520	less	0.215750773993808	0.00013656336853791
gnomAD pLI	Global	ANK2	102	19088	less	0.47301353483556	1.9174196571881e-20
gnomAD pLI	Conditional	ARID1B	43	1444	less	0.373172067255041	8.89680453680564e-06
gnomAD pLI	Global	ARID1B	43	19147	less	0.562747701078923	1.57954983259635e-12
gnomAD pLI	Conditional	CHD8	77	1410	less	0.233784655061251	0.000341874999459819
gnomAD pLI	Global	CHD8	77	19113	less	0.491296126047342	8.34636813100972e-17
gnomAD pLI	Conditional	CTNNB1	24	1463	less	0.169657097288676	0.256837815324868
gnomAD pLI	Global	CTNNB1	24	19166	less	0.428493164979652	0.000150419167270626
gnomAD pLI	Conditional	DYRK1A	594	1118	less	0.188443769839119	1.08463814899819e-12
gnomAD pLI	Global	DYRK1A	594	18596	less	0.385333220351504	5.79929384102592e-75
gnomAD pLI	Conditional	GIGYF1	31	932	less	0.247092620794684	0.0256415961273452
gnomAD pLI	Global	GIGYF1	31	19159	less	0.497032473578492	2.2848012772326e-07
gnomAD pLI	Conditional	MED13L	43	1204	less	0.148671096345515	0.159562584973867
gnomAD pLI	Global	MED13L	43	19147	less	0.336204226541045	6.13398882366818e-05
gnomAD pLI	Conditional	PTEN	3	224	less	0.25297619047619	0.68460923083234
gnomAD pLI	Global	PTEN	3	19187	less	0.267646496759959	0.650677799530499
gnomAD pLI	Conditional	SCN2A	57	818	less	0.149165701539913	0.0933584898430643
gnomAD pLI	Global	SCN2A	57	19133	less	0.356190874405478	5.461127121806e-07
gnomAD pLI	Conditional	SHANK3	118	1713	less	0.157360958572036	0.00422250613745147
gnomAD pLI	Global	SHANK3	118	19072	less	0.374280158685019	5.37551531246447e-15
