Test	Dataset	DegType	CellType	PopCount	IntCount	DegCount	OverlapCount	P	OverlapGenes
Global	ADNP	All	L2/3	36254	12	107	0	1.0	
Conditional	ADNP	All	L2/3	1210	12	18	0	1.0	
Global	ADNP	All	L4	36254	12	105	0	1.0	
Conditional	ADNP	All	L4	1210	12	8	0	1.0	
Global	ADNP	All	L5/6	36254	12	8	0	1.0	
Conditional	ADNP	All	L5/6	1210	12	2	0	1.0	
Global	ADNP	All	L5/6-CC	36254	12	19	1	0.006271814087927136	MAPRE2
Conditional	ADNP	All	L5/6-CC	1210	12	6	1	0.05816550281366727	MAPRE2
Global	ADNP	All	Neu-mat	36254	12	3	0	1.0	
Conditional	ADNP	All	Neu-mat	1210	12	0	0	1.0	
Global	ADNP	All	Neu-NRGN-I	36254	12	13	0	1.0	
Conditional	ADNP	All	Neu-NRGN-I	1210	12	2	0	1.0	
Global	ADNP	All	Neu-NRGN-II	36254	12	26	0	1.0	
Conditional	ADNP	All	Neu-NRGN-II	1210	12	1	0	1.0	
Global	ADNP	All	IN-PV	36254	12	27	1	0.008901774013033631	RAB3GAP1
Conditional	ADNP	All	IN-PV	1210	12	4	1	0.03913100965424054	RAB3GAP1
Global	ADNP	All	IN-SST	36254	12	29	0	1.0	
Conditional	ADNP	All	IN-SST	1210	12	4	0	1.0	
Global	ADNP	All	IN-VIP	36254	12	79	0	1.0	
Conditional	ADNP	All	IN-VIP	1210	12	8	0	1.0	
Global	ADNP	All	IN-SV2C	36254	12	32	0	1.0	
Conditional	ADNP	All	IN-SV2C	1210	12	5	0	1.0	
Global	ADNP	All	Microglia	36254	12	78	0	1.0	
Conditional	ADNP	All	Microglia	1210	12	12	0	1.0	
Global	ADNP	All	AST-PP	36254	12	59	0	1.0	
Conditional	ADNP	All	AST-PP	1210	12	8	0	1.0	
Global	ADNP	All	AST-FB	36254	12	15	0	1.0	
Conditional	ADNP	All	AST-FB	1210	12	1	0	1.0	
Global	ADNP	All	Oligodendrocytes	36254	12	16	0	1.0	
Conditional	ADNP	All	Oligodendrocytes	1210	12	3	0	1.0	
Global	ADNP	All	OPC	36254	12	3	0	1.0	
Conditional	ADNP	All	OPC	1210	12	0	0	1.0	
Global	ADNP	All	Endothelial	36254	12	59	0	1.0	
Conditional	ADNP	All	Endothelial	1210	12	5	0	1.0	
Global	ADNP	Up	L2/3	36254	12	61	0	1.0	
Conditional	ADNP	Up	L2/3	1210	12	11	0	1.0	
Global	ADNP	Up	L4	36254	12	65	0	1.0	
Conditional	ADNP	Up	L4	1210	12	6	0	1.0	
Global	ADNP	Up	L5/6	36254	12	5	0	1.0	
