Test	Dataset	CellType	PopCount	IntCount	ExpCount	OverlapCount	P
Global	ADNP	Neu-NRGN-II	36254	12	101	0	1.0
Conditional	ADNP	Neu-NRGN-II	1210	12	29	0	1.0
Global	ADNP	L5/6	36254	12	2400	4	0.006164008556969314
Conditional	ADNP	L5/6	1210	12	366	4	0.5155287913456098
Global	ADNP	Oligodendrocytes	36254	12	169	0	1.0
Conditional	ADNP	Oligodendrocytes	1210	12	27	0	1.0
Global	ADNP	OPC	36254	12	256	1	0.08153273387465358
Conditional	ADNP	OPC	1210	12	36	1	0.3051971205911452
Global	ADNP	AST-FB	36254	12	94	0	1.0
Conditional	ADNP	AST-FB	1210	12	12	0	1.0
Global	ADNP	Endothelial	36254	12	167	1	0.05390547178007235
Conditional	ADNP	Endothelial	1210	12	25	1	0.22251364877953994
Global	ADNP	Microglia	36254	12	73	0	1.0
Conditional	ADNP	Microglia	1210	12	5	0	1.0
Global	ADNP	Neu-NRGN-I	36254	12	389	1	0.12144231916127987
Conditional	ADNP	Neu-NRGN-I	1210	12	100	1	0.6465703835961143
Global	ADNP	IN-VIP	36254	12	966	2	0.03921598964817411
Conditional	ADNP	IN-VIP	1210	12	154	2	0.4638374984604138
Global	ADNP	L5/6-CC	36254	12	4308	5	0.009099127547812735
Conditional	ADNP	L5/6-CC	1210	12	606	5	0.80895264030359
Global	ADNP	IN-SV2C	36254	12	1564	4	0.001292575420005358
Conditional	ADNP	IN-SV2C	1210	12	254	4	0.23161185578108814
Global	ADNP	L2/3	36254	12	3050	4	0.014272982136538931
Conditional	ADNP	L2/3	1210	12	432	4	0.673110546765527
Global	ADNP	IN-PV	36254	12	1756	4	0.001984667195384104
Conditional	ADNP	IN-PV	1210	12	270	4	0.2694652414563811
Global	ADNP	L4	36254	12	1817	4	0.002250361068794286
Conditional	ADNP	L4	1210	12	280	4	0.29397730004438793
Global	ADNP	IN-SST	36254	12	875	2	0.032713296452772475
Conditional	ADNP	IN-SST	1210	12	144	2	0.42759823827331755
Global	ADNP	Neu-mat	36254	12	211	1	0.06765770151772363
Conditional	ADNP	Neu-mat	1210	12	28	1	0.24591466454834238
Global	ADNP	AST-PP	36254	12	269	1	0.0855056895226457
Conditional	ADNP	AST-PP	1210	12	34	1	0.2907912210340336
Global	ANK2	Neu-NRGN-II	36254	102	101	10	3.0718341013818015e-13
Conditional	ANK2	Neu-NRGN-II	1584	102	35	10	3.7448699380554776e-05
Global	ANK2	L5/6	36254	102	2400	47	1.961283863478933e-28
Conditional	ANK2	L5/6	1584	102	444	47	4.445290234047077e-05
Global	ANK2	Oligodendrocytes	36254	102	169	4	0.0013575627879038117
Conditional	ANK2	Oligodendrocytes	1584	102	33	4	0.1584576626926265
Global	ANK2	OPC	36254	102	256	4	0.006010493941652403
Conditional	ANK2	OPC	1584	102	42	4	0.28349671845722424
Global	ANK2	AST-FB	36254	102	94	4	0.00014827469834687132
Conditional	ANK2	AST-FB	1584	102	15	4	0.012745545650021563
Global	ANK2	Endothelial	36254	102	167	8	2.6002256819478015e-08
Conditional	ANK2	Endothelial	1584	102	33	8	0.0008104003114936723
Global	ANK2	Microglia	36254	102	73	3	0.0011656602120652896
Conditional	ANK2	Microglia	1584	102	9	3	0.01638050028620339
Global	ANK2	Neu-NRGN-I	36254	102	389	25	5.3929519816089055e-27
Conditional	ANK2	Neu-NRGN-I	1584	102	127	25	9.968888507881978e-08
Global	ANK2	IN-VIP	36254	102	966	22	2.905804806443645e-14
Conditional	ANK2	IN-VIP	1584	102	180	22	0.0015682183817500232
Global	ANK2	L5/6-CC	36254	102	4308	64	5.6382220677535355e-34
Conditional	ANK2	L5/6-CC	1584	102	753	64	0.0010232367811007946
Global	ANK2	IN-SV2C	36254	102	1564	32	2.485249292700048e-19
Conditional	ANK2	IN-SV2C	1584	102	306	32	0.0018096989717710354
Global	ANK2	L2/3	36254	102	3050	50	5.843715499371997e-27
Conditional	ANK2	L2/3	1584	102	534	50	0.0006852922113965108
Global	ANK2	IN-PV	36254	102	1756	34	7.681184359835727e-20
Conditional	ANK2	IN-PV	1584	102	333	34	0.00189700766567485
Global	ANK2	L4	36254	102	1817	41	9.241609432010945e-27
Conditional	ANK2	L4	1584	102	343	41	8.942321279616707e-06
Global	ANK2	IN-SST	36254	102	875	27	9.2814566400365e-21
Conditional	ANK2	IN-SST	1584	102	169	27	2.5151942617907534e-06
Global	ANK2	Neu-mat	36254	102	211	8	1.5815535714415648e-07
Conditional	ANK2	Neu-mat	1584	102	35	8	0.0012327891564540376
Global	ANK2	AST-PP	36254	102	269	5	0.0010045532196287254
Conditional	ANK2	AST-PP	1584	102	45	5	0.15899546015374502
Global	ARID1B	Neu-NRGN-II	36254	40	101	1	0.10564424127333863
Conditional	ARID1B	Neu-NRGN-II	1448	40	34	1	0.6184926077975458
Global	ARID1B	L5/6	36254	40	2400	13	1.0035861755144685e-06
Conditional	ARID1B	L5/6	1448	40	414	13	0.3455245781363542
Global	ARID1B	Oligodendrocytes	36254	40	169	2	0.015002915202554486
Conditional	ARID1B	Oligodendrocytes	1448	40	30	2	0.19988664808882298
Global	ARID1B	OPC	36254	40	256	1	0.24693720538136094
Conditional	ARID1B	OPC	1448	40	37	1	0.6499838602974524
Global	ARID1B	AST-FB	36254	40	94	0	1.0
Conditional	ARID1B	AST-FB	1448	40	13	0	1.0
Global	ARID1B	Endothelial	36254	40	167	1	0.1687135608805567
Conditional	ARID1B	Endothelial	1448	40	27	1	0.5338859130557809
Global	ARID1B	Microglia	36254	40	73	0	1.0
Conditional	ARID1B	Microglia	1448	40	6	0	1.0
Global	ARID1B	Neu-NRGN-I	36254	40	389	2	0.06858921503980081
Conditional	ARID1B	Neu-NRGN-I	1448	40	119	2	0.855433321146357
Global	ARID1B	IN-VIP	36254	40	966	5	0.0040383363537216865
Conditional	ARID1B	IN-VIP	1448	40	171	5	0.5198470687311892
