symbol	hgnc_id	chr	diagnostic_category	coding_sequence_variant	frameshift_variant	inframe_deletion	inframe_insertion	initiator_codon_variant	missense_variant	splice_acceptor_variant	splice_donor_variant	stop_gained	stop_lost	stop_retained_variant	synonymous_variant	PTV_enrichment_p	power_median	s_het	observed_full	expected_full	enrich_all_p_full	enrich_mis_p_full	cluster_p_full	denovoWEST_p_full	observed_ud	expected_ud	enrich_all_p_ud	enrich_mis_p_ud	cluster_p_ud	denovoWEST_p_ud	denovoWEST_p_ud_synmod	gnomad_oe_syn	significant
CTCF	13723	16	consensus	0	6	0	0	0	19	0	2	1	0	0	1	1.60E-14	0.815108899	0.191664497	23.394495	1.052013705	1.00E-14	1.12E-20	2.11E-08	1.53E-26	0.001	0.822696531	1	1	NA	1	NA	NA	TRUE
SOX11	11191	2	consensus	0	3	0	0	0	19	0	0	1	0	0	0	3.88E-08	0.378191658	NA	14.13459972	0.738736802	1.00E-14	4.73E-18	1.01E-08	2.83E-24	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
KCNQ3	6297	8	consensus	0	1	0	0	0	18	0	0	0	0	0	0	0.026486634	0.880309306	0.069801577	5.676315519	0.553946546	3.26E-11	3.92E-16	1.01E-08	2.17E-22	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
PACS2	23794	14	consensus	0	0	0	0	0	18	0	0	0	0	0	3	0.234530073	0.91407168	0.140632946	4.961664075	0.58233389	1.14E-09	6.64E-16	1.01E-08	3.64E-22	0.001	0.455397177	1	1	NA	1	NA	NA	TRUE
CNOT3	7879	19	consensus	0	6	2	0	0	16	0	0	1	0	0	1	1.33E-10	0.812446211	0.392698327	18.02565401	1.21613074	3.21E-21	7.71E-12	0.000251	3.21E-21	0.001	0.951039456	1	1	NA	1	NA	NA	TRUE
BRAF	1097	7	consensus	0	0	1	0	0	34	0	0	0	0	0	1	0.241548071	0.928389786	0.166392406	18.30252762	0.881943945	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.001	0.689698452	1	1	NA	1	NA	NA	TRUE
CACNA1A	1388	19	consensus	0	2	1	0	0	48	0	0	2	0	0	5	0.001134884	0.999995558	0.172655086	39.61492835	4.060941447	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.004	3.175740417	1	1	NA	1	NA	NA	TRUE
CDK13	1733	7	consensus	0	1	0	0	0	37	2	0	2	0	0	0	5.02E-06	0.991639079	0.046122326	23.82436736	1.143821453	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
CHD3	1918	17	consensus	0	3	0	0	0	47	3	0	1	0	0	3	5.10E-07	0.99993979	0.109065963	22.85035831	1.778584629	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.001	1.39089006	1	1	NA	1	NA	NA	TRUE
CREBBP	2348	16	consensus	0	5	2	2	0	57	1	7	4	0	0	1	0	0.999982172	0.712744609	48.43141525	2.881465777	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.001	2.253365986	1	1	NA	1	NA	NA	TRUE
CSNK2A1	2457	20	consensus	0	0	0	0	0	28	0	2	0	0	0	0	0.000764692	0.741140039	0.213895646	24.3342813	0.737634789	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
DDX3X	2745	X	consensus	0	29	7	0	0	72	6	9	22	0	0	2	0	0.565446978	0.317970943	117.4203987	0.792457932	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.002	0.603583285	1	1	NA	1	NA	NA	TRUE
FOXG1	3811	14	consensus	0	12	0	0	0	22	0	0	12	0	0	0	0	0.403583379	NA	18.9214335	0.322220395	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
FOXP1	3823	3	consensus	0	8	0	0	0	23	1	3	11	0	0	1	0	0.81962382	0.047885255	24.37033162	0.538939861	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.001	0.421462146	1	1	NA	1	NA	NA	TRUE
GNAO1	4389	16	consensus	0	0	2	0	0	37	1	1	0	0	0	1	0.000145973	0.464458256	0.220317706	31.22128548	0.831074197	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
GRIN1	4584	9	consensus	0	0	0	0	0	38	0	1	0	0	0	3	0.028453696	0.90087434	0.062059439	23.12876886	1.591643612	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.002	1.244698308	1	1	NA	1	NA	NA	TRUE
GRIN2B	4586	12	consensus	0	4	1	0	0	57	0	1	5	1	0	1	1.61E-13	0.984293416	0.464406157	54.18896013	2.099573757	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.001	1.641910213	1	1	NA	1	NA	NA	TRUE
KCNB1	6231	20	consensus	0	6	0	0	0	26	0	0	0	0	0	1	1.77E-09	0.823350518	0.283445989	24.76814631	1.200337945	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.001	0.938689163	1	1	NA	1	NA	NA	TRUE
KCNQ2	6296	20	consensus	0	0	1	0	0	61	0	0	0	0	0	0	0.207010083	0.834063327	0.184601202	42.60036112	1.612702056	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
KIF1A	888	2	consensus	0	0	0	1	0	53	0	0	0	0	0	0	0.412292627	0.999480978	0.098596741	33.47843139	1.814822243	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
MAP2K1	6840	15	consensus	0	0	0	0	0	26	0	0	0	0	0	0	0.104348136	0.359385577	0.230666836	21.3623493	0.612715487	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
MECP2	6990	X	consensus	0	19	0	0	0	45	0	0	34	0	0	0	1.11E-16	0.374315589	0.088203373	33.37078626	0.156376475	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NAA10	18704	X	consensus	0	0	0	0	0	21	0	0	0	0	0	0	0.048045978	0.102406783	0.072046348	12.12684893	0.140333891	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
PACS1	30032	11	consensus	0	0	0	0	0	38	0	1	0	0	0	2	0.030953533	0.92195753	0.237662339	29.61990997	1.244046164	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.002	0.972869896	1	1	NA	1	NA	NA	TRUE
PPP1CB	9282	2	consensus	0	2	0	0	0	23	0	0	0	0	0	0	0.000261981	0.426200381	0.247215412	20.56965648	0.626519898	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
PPP2R5D	9312	6	consensus	0	0	1	0	0	43	0	0	0	0	0	1	0.169491076	0.791485722	0.118816151	32.38246683	0.689877804	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.001	0.539498747	1	1	NA	1	NA	NA	TRUE
SATB2	21637	2	consensus	0	19	1	0	0	35	0	1	18	0	0	1	0	0.820611684	0.354525683	52.82438149	0.853243558	1.00E-14	1.00E-14	1.01E-08	5.22E-21	0.001	0.667254155	1	1	NA	1	NA	NA	TRUE
SMAD4	6770	18	consensus	0	0	0	0	0	33	0	0	0	0	0	0	0.14059755	0.62935158	0.143513789	13.02443834	0.546143772	1.00E-14	1.00E-14	1.01E-08	5.22E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
GABRB2	4082	5	consensus	0	0	0	0	0	18	0	0	0	0	0	2	0.131770217	0.568469838	0.078521083	11.95358234	0.516328025	7.17E-21	1.00E-14	4.00E-07	7.17E-21	0.002	0.403779222	1	1	NA	1	NA	NA	TRUE
CHAMP1	20311	13	consensus	0	6	0	0	0	1	0	0	7	0	0	0	0	0.722374221	0.258064801	11.66595582	0.47995548	8.93E-21	1	NA	8.93E-21	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
