GeneID	GeneName	Chromosome	Start	End	Strand	Biotype
ENSG00000223972	DDX11L1	1	11869	14409	+	transcribed_unprocessed_pseudogene
ENSG00000227232	WASH7P	1	14404	29570	-	unprocessed_pseudogene
ENSG00000278267	MIR6859-1	1	17369	17436	-	miRNA
ENSG00000243485	RP11-34P13.3	1	29554	31109	+	lincRNA
ENSG00000274890	MIR1302-2	1	30366	30503	+	miRNA
ENSG00000237613	FAM138A	1	34554	36081	-	lincRNA
ENSG00000268020	OR4G4P	1	52473	53312	+	unprocessed_pseudogene
ENSG00000240361	OR4G11P	1	62948	63887	+	unprocessed_pseudogene
ENSG00000186092	OR4F5	1	69091	70008	+	protein_coding
ENSG00000238009	RP11-34P13.7	1	89295	133723	-	lincRNA
ENSG00000239945	RP11-34P13.8	1	89551	91105	-	lincRNA
ENSG00000233750	CICP27	1	131025	134836	+	processed_pseudogene
ENSG00000268903	RP11-34P13.15	1	135141	135895	-	processed_pseudogene
ENSG00000269981	RP11-34P13.16	1	137682	137965	-	processed_pseudogene
ENSG00000239906	RP11-34P13.14	1	139790	140339	-	antisense
ENSG00000241860	RP11-34P13.13	1	141474	173862	-	processed_transcript
ENSG00000222623	RNU6-1100P	1	157784	157887	-	snRNA
ENSG00000241599	RP11-34P13.9	1	160446	161525	+	lincRNA
ENSG00000279928	FO538757.3	1	182393	184158	+	protein_coding
ENSG00000279457	FO538757.2	1	184923	200322	-	protein_coding
ENSG00000273874	MIR6859-2	1	187891	187958	-	miRNA
ENSG00000275135	FO538757.1	1	200880	201017	+	miRNA
ENSG00000228463	AP006222.2	1	257864	297502	-	lincRNA
ENSG00000241670	RPL23AP21	1	258568	259024	-	processed_pseudogene
ENSG00000236679	RPL23AP24	1	347982	348366	-	processed_pseudogene
ENSG00000236743	RP5-857K21.15	1	357383	359681	-	lincRNA
ENSG00000236601	RP4-669L17.2	1	358857	366052	+	lincRNA
ENSG00000237094	RP4-669L17.10	1	365389	501617	-	lincRNA
ENSG00000269732	WBP1LP7	1	439870	440232	+	processed_pseudogene
ENSG00000278566	OR4F29	1	450740	451678	-	protein_coding
ENSG00000224813	SEPT14P13	1	485026	485208	-	transcribed_unprocessed_pseudogene
ENSG00000233653	CICP7	1	487101	489906	+	processed_pseudogene
ENSG00000250575	RP4-669L17.8	1	491225	493241	-	unprocessed_pseudogene
ENSG00000278757	U6	1	516376	516479	-	snRNA
ENSG00000230021	RP5-857K21.4	1	585989	827796	-	lincRNA
ENSG00000235146	RP5-857K21.2	1	587629	594768	+	lincRNA
ENSG00000225972	MTND1P23	1	629062	629433	+	unprocessed_pseudogene
ENSG00000225630	MTND2P28	1	629640	630683	+	unprocessed_pseudogene
ENSG00000276171	AC114498.1	1	630896	630958	+	miRNA
ENSG00000237973	MTCO1P12	1	631074	632616	+	unprocessed_pseudogene
ENSG00000278791	MIR6723	1	632325	632413	-	miRNA
ENSG00000229344	MTCO2P12	1	632757	633438	+	unprocessed_pseudogene
ENSG00000240409	MTATP8P1	1	633535	633741	+	unprocessed_pseudogene
ENSG00000248527	MTATP6P1	1	633696	634376	+	unprocessed_pseudogene
ENSG00000198744	MTCO3P12	1	634376	634922	+	unprocessed_pseudogene
ENSG00000268663	WBP1LP6	1	674842	675265	+	processed_pseudogene
ENSG00000273547	OR4F16	1	685716	686654	-	protein_coding
ENSG00000229376	CICP3	1	722092	724903	+	processed_pseudogene
ENSG00000228327	RP11-206L10.2	1	725885	778626	-	transcribed_unprocessed_pseudogene
ENSG00000223181	RNU6-1199P	1	758233	758336	-	snRNA
ENSG00000229905	RP11-206L10.4	1	760911	761989	+	antisense
ENSG00000237491	RP11-206L10.9	1	778770	810060	+	lincRNA
ENSG00000230092	RP11-206L10.8	1	800879	817712	-	transcribed_unprocessed_pseudogene
ENSG00000177757	FAM87B	1	817371	819837	+	lincRNA
ENSG00000228794	LINC01128	1	825138	859446	+	processed_transcript
ENSG00000225880	LINC00115	1	826206	827522	-	lincRNA
ENSG00000230368	FAM41C	1	868071	876903	-	lincRNA
ENSG00000234711	TUBB8P11	1	873292	874349	+	unprocessed_pseudogene
ENSG00000283040	FAM166AP3	1	874529	877234	-	transcribed_unprocessed_pseudogene
ENSG00000272438	RP11-54O7.16	1	904834	915976	+	lincRNA
ENSG00000230699	RP11-54O7.1	1	911435	914948	+	lincRNA
ENSG00000241180	RP11-54O7.2	1	914171	914971	+	lincRNA
ENSG00000223764	RP11-54O7.3	1	916865	921016	-	lincRNA
ENSG00000187634	SAMD11	1	924880	944581	+	protein_coding
ENSG00000188976	NOC2L	1	944204	959309	-	protein_coding
ENSG00000187961	KLHL17	1	960587	965715	+	protein_coding
ENSG00000277294	AL645608.1	1	965110	965166	+	miRNA
ENSG00000187583	PLEKHN1	1	966497	975865	+	protein_coding
ENSG00000187642	PERM1	1	975204	982093	-	protein_coding
ENSG00000272512	RP11-54O7.17	1	995966	998051	-	lincRNA
ENSG00000188290	HES4	1	998962	1000172	-	protein_coding
ENSG00000187608	ISG15	1	1001138	1014541	+	protein_coding
ENSG00000231702	RP11-54O7.10	1	1008076	1008229	-	processed_pseudogene
ENSG00000224969	RP11-54O7.11	1	1011997	1013193	-	antisense
ENSG00000188157	AGRN	1	1020123	1056118	+	protein_coding
ENSG00000242590	RP11-54O7.14	1	1055033	1056116	+	sense_intronic
ENSG00000217801	RP11-465B22.3	1	1059734	1069355	+	transcribed_unprocessed_pseudogene
ENSG00000273443	RP11-54O7.18	1	1062208	1063288	-	lincRNA
ENSG00000237330	RNF223	1	1070966	1074307	-	protein_coding
ENSG00000131591	C1orf159	1	1081818	1116361	-	protein_coding
ENSG00000223823	LINC01342	1	1137017	1144056	+	lincRNA
ENSG00000207730	MIR200B	1	1167092	1167202	+	miRNA
ENSG00000207607	MIR200A	1	1167846	1167956	+	miRNA
ENSG00000198976	MIR429	1	1169005	1169087	+	miRNA
ENSG00000272141	RP11-465B22.8	1	1169357	1170343	+	lincRNA
ENSG00000205231	TTLL10-AS1	1	1173056	1179555	-	antisense
ENSG00000162571	TTLL10	1	1173884	1197935	+	protein_coding
ENSG00000186891	TNFRSF18	1	1203508	1206691	-	protein_coding
ENSG00000186827	TNFRSF4	1	1211326	1214138	-	protein_coding
ENSG00000078808	SDF4	1	1216908	1232031	-	protein_coding
ENSG00000176022	B3GALT6	1	1232265	1235041	+	protein_coding
ENSG00000184163	FAM132A	1	1242446	1246722	-	protein_coding
ENSG00000260179	RP5-902P8.12	1	1249777	1251334	-	lincRNA
ENSG00000160087	UBE2J2	1	1253909	1273885	-	protein_coding
ENSG00000230415	RP5-902P8.10	1	1275223	1280420	+	lincRNA
ENSG00000162572	SCNN1D	1	1280436	1292029	+	protein_coding
ENSG00000131584	ACAP3	1	1292376	1309609	-	protein_coding
ENSG00000278073	MIR6726	1	1296110	1296170	-	miRNA
ENSG00000169972	PUSL1	1	1308567	1311677	+	protein_coding
ENSG00000127054	CPSF3L	1	1311585	1324691	-	protein_coding
ENSG00000274153	MIR6727	1	1312502	1312566	-	miRNA
ENSG00000240731	RP5-890O3.9	1	1317581	1318689	-	sense_intronic
ENSG00000224051	CPTP	1	1324756	1328897	+	protein_coding
ENSG00000169962	TAS1R3	1	1331314	1335306	+	protein_coding
ENSG00000107404	DVL1	1	1335276	1349350	-	protein_coding
ENSG00000275884	MIR6808	1	1339650	1339708	-	miRNA
ENSG00000162576	MXRA8	1	1352689	1361777	-	protein_coding
ENSG00000175756	AURKAIP1	1	1373730	1375495	-	protein_coding
ENSG00000223663	NDUFB4P8	1	1378666	1379032	+	processed_pseudogene
ENSG00000221978	CCNL2	1	1385711	1399328	-	protein_coding
ENSG00000224870	RP4-758J18.2	1	1399522	1402046	+	processed_transcript
ENSG00000242485	MRPL20	1	1401908	1407313	-	protein_coding
ENSG00000264293	RN7SL657P	1	1405460	1405752	-	misc_RNA
ENSG00000272455	RP4-758J18.13	1	1409096	1410618	+	lincRNA
ENSG00000235098	ANKRD65	1	1418420	1421769	-	protein_coding
ENSG00000225905	RP4-758J18.7	1	1420245	1422691	+	antisense
ENSG00000205116	TMEM88B	1	1426128	1427787	+	protein_coding
ENSG00000225285	RP4-758J18.10	1	1430539	1434573	-	lincRNA
ENSG00000179403	VWA1	1	1434861	1442882	+	protein_coding
ENSG00000215915	ATAD3C	1	1449689	1470158	+	protein_coding
ENSG00000160072	ATAD3B	1	1471769	1497848	+	protein_coding
ENSG00000197785	ATAD3A	1	1512151	1534687	+	protein_coding
ENSG00000205090	TMEM240	1	1535174	1540453	-	protein_coding
ENSG00000160075	SSU72	1	1541673	1574869	-	protein_coding
ENSG00000215014	RP5-832C2.5	1	1574975	1577075	+	lincRNA
ENSG00000279244	AL645728.1	1	1579756	1580046	+	protein_coding
ENSG00000274481	RP11-345P4.11	1	1583510	1583909	-	processed_pseudogene
ENSG00000280747	Metazoa_SRP	1	1589065	1589350	-	misc_RNA
ENSG00000228594	C1orf233	1	1598012	1600096	-	protein_coding
ENSG00000272106	RP11-345P4.9	1	1613758	1615795	-	antisense
ENSG00000197530	MIB2	1	1615415	1630610	+	protein_coding
ENSG00000189409	MMP23B	1	1632095	1701810	+	protein_coding
ENSG00000248333	CDK11B	1	1635227	1659012	-	protein_coding
ENSG00000272004	RP11-345P4.10	1	1659325	1662602	+	antisense
ENSG00000189339	SLC35E2B	1	1659529	1692728	-	protein_coding
ENSG00000269737	RP11-345P4.7	1	1671990	1673411	+	antisense
ENSG00000269227	RP11-345P4.6	1	1673275	1674397	+	transcribed_processed_pseudogene
ENSG00000215914	MMP23A	1	1699942	1701782	+	unprocessed_pseudogene
ENSG00000008128	CDK11A	1	1702730	1724324	-	protein_coding
ENSG00000268575	RP1-283E3.8	1	1702736	1737688	-	processed_transcript
ENSG00000227775	RP1-283E3.4	1	1724512	1737251	+	transcribed_processed_pseudogene
ENSG00000215790	SLC35E2	1	1724838	1745992	-	protein_coding
ENSG00000008130	NADK	1	1751232	1780457	-	protein_coding
ENSG00000078369	GNB1	1	1785285	1891117	-	protein_coding
ENSG00000231050	RP1-140A9.1	1	1891471	1892658	+	antisense
ENSG00000169885	CALML6	1	1914827	1917296	+	protein_coding
ENSG00000178821	TMEM52	1	1917590	1919273	-	protein_coding
ENSG00000142609	CFAP74	1	1921951	2003837	-	protein_coding
ENSG00000233542	RP11-547D24.1	1	2013213	2015530	-	antisense
ENSG00000187730	GABRD	1	2019324	2030751	+	protein_coding
ENSG00000226969	RP11-547D24.3	1	2049203	2050070	-	antisense
ENSG00000067606	PRKCZ	1	2050470	2185395	+	protein_coding
ENSG00000271806	RP5-892K4.1	1	2141084	2145279	-	antisense
ENSG00000182873	RP11-181G12.2	1	2181794	2184389	-	antisense
ENSG00000162585	FAAP20	1	2184461	2212720	-	protein_coding
ENSG00000234396	RP11-181G12.4	1	2212523	2220738	+	lincRNA
ENSG00000277082	AL590822.1	1	2222427	2222500	-	miRNA
ENSG00000157933	SKI	1	2228695	2310119	+	protein_coding
ENSG00000116151	MORN1	1	2321253	2391707	-	protein_coding
ENSG00000272161	RP4-713A8.1	1	2326201	2326693	-	sense_intronic
ENSG00000269896	RP4-740C4.5	1	2350414	2352820	-	transcribed_processed_pseudogene
ENSG00000272420	RP4-740C4.7	1	2363061	2363628	-	sense_intronic
ENSG00000157916	RER1	1	2391775	2405444	+	protein_coding
ENSG00000157911	PEX10	1	2403964	2413797	-	protein_coding
ENSG00000149527	PLCH2	1	2425980	2505530	+	protein_coding
ENSG00000224387	RP3-395M20.2	1	2492300	2493258	-	antisense
ENSG00000229393	RP3-395M20.3	1	2493437	2494479	-	antisense
ENSG00000157881	PANK4	1	2508533	2526628	-	protein_coding
ENSG00000197921	HES5	1	2528745	2530245	-	protein_coding
ENSG00000272449	RP3-395M20.12	1	2546465	2547460	+	lincRNA
ENSG00000238164	RP3-395M20.8	1	2549920	2557031	-	antisense
ENSG00000157873	TNFRSF14	1	2555639	2565382	+	protein_coding
ENSG00000225931	RP3-395M20.7	1	2566410	2569888	+	TEC
ENSG00000228037	RP3-395M20.9	1	2581560	2584533	+	lincRNA
ENSG00000157870	FAM213B	1	2586491	2591469	+	protein_coding
ENSG00000142606	MMEL1	1	2590639	2632990	-	protein_coding
ENSG00000237058	RP13-436F16.1	1	2632568	2636620	+	antisense
