Dataset	Bait	Gene	IsInteractor	Chr	PosStart	PosEnd
ANK2_WH	ANK2	IGLV2-8	TRUE	22	23165153	23165787
ANK2_WH	ANK2	ENO1	TRUE	1	8921061	8939308
ANK2_WH	ANK2	SPTBN1	TRUE	2	54683422	54896812
ANK2_WH	ANK2	MPRIP	TRUE	17	16945859	17120993
ANK2_WH	ANK2	GNB1	TRUE	1	1716729	1822495
ANK2_WH	ANK2	COL1A1	TRUE	17	48260650	48278993
ANK2_WH	ANK2	FSCN1	TRUE	7	5632439	5646286
ANK2_WH	ANK2	HNRNPM	TRUE	19	8509651	8553998
ANK2_WH	ANK2	RPUSD3	TRUE	3	9879533	9886286
ANK2_WH	ANK2	PRDX1	TRUE	1	45976708	45988719
ANK2_WH	ANK2	EPB41L3	TRUE	18	5392383	5630699
ANK2_WH	ANK2	PGAM5	TRUE	12	133287405	133299228
ANK2_WH	ANK2	CKAP4	TRUE	12	106631655	106698057
ANK2_WH	ANK2	SPTBN2	TRUE	11	66452719	66496697
ANK2_WH	ANK2	ACTB	TRUE	7	5566782	5603415
ANK2_WH	ANK2	DYNC1H1	TRUE	14	102430865	102517129
ANK2_WH	ANK2	TUBA1A	TRUE	12	49578579	49583107
ANK2_WH	ANK2	CYTH3	TRUE	7	6201407	6312275
ANK2_WH	ANK2	RPL27	TRUE	17	41150290	41154976
ANK2_WH	ANK2	NEFM	TRUE	8	24770525	24776607
ANK2_WH	ANK2	NPM1	TRUE	5	170814120	170838141
ANK2_WH	ANK2	DAPK1	TRUE	9	90112143	90323548
ANK2_WH	ANK2	CALM2	TRUE	2	47387221	47403740
ANK2_WH	ANK2	USP42	TRUE	7	6144515	6201195
ANK2_WH	ANK2	PSD2	TRUE	5	139175406	139224051
ANK2_WH	ANK2	YWHAE	TRUE	17	1247566	1303672
ANK2_WH	ANK2	CACNA2D1	TRUE	7	81575760	82073114
ANK2_WH	ANK2	SYNCRIP	TRUE	6	86318053	86353510
ANK2_WH	ANK2	NCL	TRUE	2	232318242	232348352
ANK2_WH	ANK2	CTNNA2	TRUE	2	79412357	80875905
ANK2_WH	ANK2	SPTAN1	TRUE	9	131314866	131395941
ANK2_WH	ANK2	RPL34	TRUE	4	109541722	109551568
ANK2_WH	ANK2	RPL18A	TRUE	19	17970685	17974962
