Gene ID,Gene Symbol,Gene Name,Case PTV,Ctrl PTV,Case mis3,Ctrl mis3,Case mis2,Ctrl mis2,P ca/co (Class 1),P ca/co (Class 2),P ca/co (comb),De novo PTV,De novo mis3,De novo mis2,P de novo,P meta,Q meta,OR (PTV),OR (Class I),OR (Class II)
ENSG00000099381,SETD1A,SET domain containing 1A,15,3,3,4,11,10,0.00000036,0.000588,7.73E-09,3,,,0.0000145,2E-12,3.62E-08,20.1 (5.68-108),10.3 (4.12-29.3),4.42 (1.7-11.6)
ENSG00000055130,CUL1,Cullin 1,8,1,2,0,7,16,0.0000101,0.261,0.00000522,3,NA,NA,0.00000862,2.01E-09,0.0000182,36.1 (5.01-1570),44.2 (6.42-1880),1.76 (0.611-4.51)
ENSG00000130227,XPO7,Exportin 7,12,1,1,1,10,32,0.00000002,0.539,0.00000002,1,NA,NA,0.0431,7.18E-09,0.0000434,52.2 (7.84-2190),28.1 (6.46-253),1.25 (0.55-2.62)
ENSG00000038382,TRIO,Trio Rho guanine nucleotide exchange factor,18,16,0,0,24,102,0.00000208,0.91,0.00000208,2,NA,NA,0.00462,6.35E-08,0.000288,5.02 (2.47-10.4),5.02 (2.47-10.4),0.944 (0.579-1.48)
ENSG00000006283,CACNA1G,"Calcium channel, voltage-dependent, T type, alpha 1G subunit",10,13,8,4,55,134,0.00000316,0.0317,0.000000457,NA,NA,1,0.279,0.000000457,0.00154,3.09 (1.21-7.63),4.25 (2.07-8.78),1.68 (1.21-2.31)
ENSG00000105866,SP4,Sp4 transcription factor,13,6,3,3,0,2,0.00000426,1,0.00000426,1,NA,NA,0.0209,0.000000508,0.00154,9.37 (3.38-29.7),7.59 (3.2-19.3),0 (0-21.4)
ENSG00000125675,GRIA3,"Glutamate receptor, ionotropic, AMPA 3",5,0,3,2,10,24,0.000104,0.204,0.000046,1,1,NA,0.00129,0.000000598,0.00155,Inf (4.73-Inf),20.1 (4.28-188),1.67 (0.714-3.63)
ENSG00000183454,GRIN2A,"Glutamate receptor, ionotropic, N-methyl D-aspartate 2A",9,2,3,0,13,22,0.00000718,0.0142,0.000000737,NA,NA,NA,NA,0.000000737,0.00167,18.1 (3.74-172),24.1 (5.36-221),2.37 (1.1-4.92)
ENSG00000103657,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,28,32,0,0,2,8,0.00000126,1,0.00000126,NA,NA,NA,NA,0.00000126,0.00254,3.51 (2.04-6.03),3.51 (2.04-6.03),1 (0.104-5.03)
ENSG00000023287,RB1CC1,RB1-inducible coiled-coil 1,9,4,0,0,0,0,0.000143,NA,0.000143,2,NA,NA,0.00125,0.000002,0.00363,10 (2.89-43.9),10 (2.89-43.9),NA
ENSG00000138622,HCN4,Hyperpolarization activated cyclic nucleotide-gated potassium channel 4,8,0,0,0,0,0,0.00000254,NA,0.00000254,NA,NA,NA,NA,0.00000254,0.00419,Inf (6.85-Inf),Inf (6.85-Inf),NA
ENSG00000023516,AKAP11,A kinase (PRKA) anchor protein 11,17,13,0,0,0,0,0.00000828,NA,0.00000828,NA,NA,NA,NA,0.00000828,0.0125,5.25 (2.4-11.8),5.25 (2.4-11.8),NA
